Zip Code,Income,Neighborhood
02108,146958,Beacon Hill
02109,163173,North End
02110,142869,Financial District|Downtown
02111,53596,Chinatown
02113,100483,North End
02114,96563,Downtown
02115,43144,West Fens|Kenmore Square
02116,110280,Back Bay
02118,67805,South End
02119,31900,Washington Park|Roxbury
02120,38300,Mission Hill Projects|Jamaica Plain
02121,32500,Franklin Field North|Roxbury
02122,60313,Port Norfolk|Dorchester
02124,58105,Codman Sq|Dorchester
02125,57649,Harbor Islands
02126,55024,Southern Mattapan|Mattapan
02127,109149,Telegraph Hill|South Boston
02128,60579,Jeffries Point|East Boston
02129,128403,Medford St|Charlestown
02130,94733,Jamaica Hills|Jamaica Plain
02131,80578,Metropolitan Hill|Roslindale
02132,103337,Upper Washington|West Roxbury
02134,62614,Allston
02135,78416,Oak Square|Allston
02136,69262,Stony Brook|Hyde Park
02152,74069,Winthrop
02163,53214,Allston
02199,83464,Prudential
02210,170588,West Broadway|South Boston
02467,132399,Middlesex County
