service_date,route_id,direction_id,half_trip_id,stop_id,time_point_id,time_point_order,point_type,standard_type,scheduled,actual,scheduled_headway,headway,delay_time
2022-01-17,01,Inbound,54304695.0,110,hhgat,1,Startpoint,Schedule,1900-01-01 05:05:00,1900-01-01 05:05:39,,,0.65
2022-01-17,01,Inbound,54304695.0,67,maput,2,Midpoint,Schedule,1900-01-01 05:07:00,1900-01-01 05:07:47,,,0.7833333333333333
2022-01-17,01,Inbound,54304695.0,72,cntsq,3,Midpoint,Schedule,1900-01-01 05:08:00,1900-01-01 05:13:47,,,5.783333333333333
2022-01-17,01,Inbound,54304695.0,75,mit,4,Midpoint,Schedule,1900-01-01 05:11:00,1900-01-01 05:17:35,,,6.583333333333333
2022-01-17,01,Inbound,54304695.0,79,hynes,5,Midpoint,Schedule,1900-01-01 05:14:00,1900-01-01 05:20:20,,,6.333333333333333
2022-01-17,01,Inbound,54304695.0,187,masta,6,Midpoint,Schedule,1900-01-01 05:15:00,1900-01-01 05:22:55,,,7.916666666666667
2022-01-17,01,Inbound,54304695.0,59,Wasma,7,Midpoint,Schedule,1900-01-01 05:18:00,1900-01-01 05:25:19,,,7.316666666666666
2022-01-17,01,Inbound,54304695.0,62,Melwa,8,Midpoint,Schedule,1900-01-01 05:22:00,1900-01-01 05:30:28,,,8.466666666666667
2022-01-17,01,Inbound,54304695.0,64,dudly,9,Endpoint,Schedule,1900-01-01 05:28:00,1900-01-01 05:31:02,,,3.033333333333333
2022-01-17,01,Outbound,54304694.0,64,dudly,1,Startpoint,Schedule,1900-01-01 04:40:00,1900-01-01 04:40:21,,,0.35
2022-01-17,01,Outbound,54304694.0,2,Melwa,2,Midpoint,Schedule,1900-01-01 04:41:00,1900-01-01 04:41:06,,,0.1
2022-01-17,01,Outbound,54304694.0,10590,Wasma,3,Midpoint,Schedule,1900-01-01 04:44:00,1900-01-01 04:45:41,,,1.6833333333333333
2022-01-17,01,Outbound,54304694.0,188,masta,4,Midpoint,Schedule,1900-01-01 04:46:00,1900-01-01 04:50:29,,,4.483333333333333
2022-01-17,01,Outbound,54304694.0,93,hynes,5,Midpoint,Schedule,1900-01-01 04:48:00,1900-01-01 04:53:15,,,5.25
2022-01-17,01,Outbound,54304694.0,97,mit,6,Midpoint,Schedule,1900-01-01 04:51:00,1900-01-01 04:56:01,,,5.016666666666667
2022-01-17,01,Outbound,54304694.0,102,cntsq,7,Midpoint,Schedule,1900-01-01 04:55:00,1900-01-01 05:00:11,,,5.183333333333334
2022-01-17,01,Outbound,54304694.0,108,maput,8,Midpoint,Schedule,1900-01-01 04:58:00,1900-01-01 05:02:29,,,4.483333333333333
2022-01-17,01,Outbound,54304694.0,110,hhgat,9,Endpoint,Schedule,1900-01-01 05:02:00,1900-01-01 05:03:04,,,1.0666666666666667
2022-01-17,07,Inbound,54304739.0,33,ctypt,1,Startpoint,Schedule,1900-01-01 05:15:00,1900-01-01 05:18:03,,,3.05
2022-01-17,07,Inbound,54304739.0,886,lbrwy,2,Midpoint,Schedule,1900-01-01 05:18:00,1900-01-01 05:23:16,,,5.266666666666667
2022-01-17,07,Inbound,54304739.0,890,bcec,3,Midpoint,Schedule,1900-01-01 05:19:00,1900-01-01 05:27:47,,,8.783333333333333
2022-01-17,07,Inbound,54304739.0,892,sosta,4,Midpoint,Schedule,1900-01-01 05:20:00,1900-01-01 05:30:35,,,10.583333333333334
2022-01-17,07,Inbound,54304739.0,16535,otsum,5,Endpoint,Schedule,1900-01-01 05:24:00,1900-01-01 05:36:03,,,12.05
2022-01-17,07,Inbound,54304741.0,33,ctypt,1,Startpoint,Schedule,1900-01-01 06:00:00,1900-01-01 06:01:52,,,1.8666666666666667
2022-01-17,07,Inbound,54304741.0,886,lbrwy,2,Midpoint,Schedule,1900-01-01 06:03:00,1900-01-01 06:07:32,,,4.533333333333333
2022-01-17,07,Inbound,54304741.0,890,bcec,3,Midpoint,Schedule,1900-01-01 06:06:00,1900-01-01 06:11:11,,,5.183333333333334
2022-01-17,07,Inbound,54304741.0,892,sosta,4,Midpoint,Schedule,1900-01-01 06:08:00,1900-01-01 06:13:28,,,5.466666666666667
2022-01-17,07,Inbound,54304741.0,16535,otsum,5,Endpoint,Schedule,1900-01-01 06:13:00,1900-01-01 06:17:46,,,4.766666666666667
2022-01-17,07,Inbound,54304753.0,33,ctypt,1,Startpoint,Schedule,1900-01-01 08:30:00,1900-01-01 08:30:53,,,0.8833333333333333
2022-01-17,07,Inbound,54304753.0,886,lbrwy,2,Midpoint,Schedule,1900-01-01 08:34:00,1900-01-01 08:35:07,,,1.1166666666666667
2022-01-17,07,Inbound,54304753.0,890,bcec,3,Midpoint,Schedule,1900-01-01 08:37:00,1900-01-01 08:39:23,,,2.3833333333333333
2022-01-17,07,Inbound,54304753.0,892,sosta,4,Midpoint,Schedule,1900-01-01 08:40:00,1900-01-01 08:43:00,,,3.0
2022-01-17,07,Inbound,54304753.0,16535,otsum,5,Endpoint,Schedule,1900-01-01 08:45:00,1900-01-01 08:46:09,,,1.15
2022-01-17,07,Inbound,54304757.0,33,ctypt,1,Startpoint,Schedule,1900-01-01 10:00:00,1900-01-01 10:01:38,,,1.6333333333333333
2022-01-17,07,Inbound,54304757.0,886,lbrwy,2,Midpoint,Schedule,1900-01-01 10:04:00,1900-01-01 10:06:59,,,2.9833333333333334
2022-01-17,07,Inbound,54304757.0,890,bcec,3,Midpoint,Schedule,1900-01-01 10:07:00,1900-01-01 10:12:03,,,5.05
2022-01-17,07,Inbound,54304757.0,892,sosta,4,Midpoint,Schedule,1900-01-01 10:10:00,1900-01-01 10:16:05,,,6.083333333333333
2022-01-17,07,Inbound,54304757.0,16535,otsum,5,Endpoint,Schedule,1900-01-01 10:15:00,1900-01-01 10:19:26,,,4.433333333333334
2022-01-17,07,Inbound,54304759.0,33,ctypt,1,Startpoint,Schedule,1900-01-01 10:40:00,1900-01-01 10:41:00,,,1.0
2022-01-17,07,Inbound,54304759.0,886,lbrwy,2,Midpoint,Schedule,1900-01-01 10:44:00,1900-01-01 10:47:03,,,3.05
2022-01-17,07,Inbound,54304759.0,890,bcec,3,Midpoint,Schedule,1900-01-01 10:47:00,1900-01-01 10:52:06,,,5.1
2022-01-17,07,Inbound,54304759.0,892,sosta,4,Midpoint,Schedule,1900-01-01 10:50:00,1900-01-01 10:56:05,,,6.083333333333333
2022-01-17,07,Inbound,54304759.0,16535,otsum,5,Endpoint,Schedule,1900-01-01 10:55:00,1900-01-01 10:59:36,,,4.6
2022-01-17,07,Inbound,54304761.0,33,ctypt,1,Startpoint,Schedule,1900-01-01 11:20:00,1900-01-01 11:24:46,,,4.766666666666667
2022-01-17,07,Inbound,54304761.0,886,lbrwy,2,Midpoint,Schedule,1900-01-01 11:24:00,1900-01-01 11:31:03,,,7.05
2022-01-17,07,Inbound,54304761.0,890,bcec,3,Midpoint,Schedule,1900-01-01 11:27:00,1900-01-01 11:37:09,,,10.15
2022-01-17,07,Inbound,54304761.0,892,sosta,4,Midpoint,Schedule,1900-01-01 11:30:00,1900-01-01 11:41:05,,,11.083333333333334
2022-01-17,07,Inbound,54304761.0,16535,otsum,5,Endpoint,Schedule,1900-01-01 11:36:00,1900-01-01 11:44:27,,,8.45
2022-01-17,07,Inbound,54304807.0,33,ctypt,1,Startpoint,Schedule,1900-01-01 12:02:00,1900-01-01 12:02:01,,,0.016666666666666666
2022-01-17,07,Inbound,54304807.0,886,lbrwy,2,Midpoint,Schedule,1900-01-01 12:06:00,1900-01-01 12:06:06,,,0.1
2022-01-17,07,Inbound,54304807.0,890,bcec,3,Midpoint,Schedule,1900-01-01 12:10:00,1900-01-01 12:11:00,,,1.0
2022-01-17,07,Inbound,54304807.0,892,sosta,4,Midpoint,Schedule,1900-01-01 12:13:00,1900-01-01 12:16:00,,,3.0
2022-01-17,07,Inbound,54304807.0,16535,otsum,5,Endpoint,Schedule,1900-01-01 12:19:00,1900-01-01 12:17:46,,,0.0
2022-01-17,07,Inbound,54304809.0,33,ctypt,1,Startpoint,Schedule,1900-01-01 12:44:00,1900-01-01 12:47:22,,,3.3666666666666667
2022-01-17,07,Inbound,54304809.0,886,lbrwy,2,Midpoint,Schedule,1900-01-01 12:48:00,1900-01-01 12:53:28,,,5.466666666666667
2022-01-17,07,Inbound,54304809.0,890,bcec,3,Midpoint,Schedule,1900-01-01 12:52:00,1900-01-01 12:57:59,,,5.983333333333333
2022-01-17,07,Inbound,54304809.0,892,sosta,4,Midpoint,Schedule,1900-01-01 12:55:00,1900-01-01 13:01:01,,,6.016666666666667
2022-01-17,07,Inbound,54304809.0,16535,otsum,5,Endpoint,Schedule,1900-01-01 13:01:00,1900-01-01 13:02:56,,,1.9333333333333333
2022-01-17,07,Inbound,54304766.0,33,ctypt,1,Startpoint,Schedule,1900-01-01 13:26:00,1900-01-01 13:27:25,,,1.4166666666666667
2022-01-17,07,Inbound,54304766.0,886,lbrwy,2,Midpoint,Schedule,1900-01-01 13:30:00,1900-01-01 13:32:01,,,2.0166666666666666
2022-01-17,07,Inbound,54304766.0,890,bcec,3,Midpoint,Schedule,1900-01-01 13:34:00,1900-01-01 13:38:02,,,4.033333333333333
2022-01-17,07,Inbound,54304766.0,892,sosta,4,Midpoint,Schedule,1900-01-01 13:37:00,1900-01-01 13:41:03,,,4.05
2022-01-17,07,Inbound,54304766.0,16535,otsum,5,Endpoint,Schedule,1900-01-01 13:43:00,1900-01-01 13:42:55,,,0.0
2022-01-17,07,Inbound,54304768.0,33,ctypt,1,Startpoint,Schedule,1900-01-01 14:08:00,1900-01-01 14:11:48,,,3.8
2022-01-17,07,Inbound,54304768.0,886,lbrwy,2,Midpoint,Schedule,1900-01-01 14:12:00,1900-01-01 14:16:04,,,4.066666666666666
2022-01-17,07,Inbound,54304768.0,890,bcec,3,Midpoint,Schedule,1900-01-01 14:16:00,1900-01-01 14:18:47,,,2.783333333333333
2022-01-17,07,Inbound,54304768.0,892,sosta,4,Midpoint,Schedule,1900-01-01 14:19:00,1900-01-01 14:22:45,,,3.75
2022-01-17,07,Inbound,54304768.0,16535,otsum,5,Endpoint,Schedule,1900-01-01 14:25:00,1900-01-01 14:24:50,,,0.0
2022-01-17,07,Inbound,54304770.0,33,ctypt,1,Startpoint,Schedule,1900-01-01 14:50:00,1900-01-01 15:01:21,,,11.35
2022-01-17,07,Inbound,54304770.0,886,lbrwy,2,Midpoint,Schedule,1900-01-01 14:54:00,1900-01-01 15:06:01,,,12.016666666666667
2022-01-17,07,Inbound,54304770.0,890,bcec,3,Midpoint,Schedule,1900-01-01 14:58:00,1900-01-01 15:11:56,,,13.933333333333334
2022-01-17,07,Inbound,54304770.0,892,sosta,4,Midpoint,Schedule,1900-01-01 15:00:00,1900-01-01 15:15:12,,,15.2
2022-01-17,07,Inbound,54304770.0,16535,otsum,5,Endpoint,Schedule,1900-01-01 15:05:00,1900-01-01 15:16:57,,,11.95
2022-01-17,07,Inbound,54304772.0,33,ctypt,1,Startpoint,Schedule,1900-01-01 15:30:00,1900-01-01 15:34:24,,,4.4
2022-01-17,07,Inbound,54304772.0,886,lbrwy,2,Midpoint,Schedule,1900-01-01 15:34:00,1900-01-01 15:38:18,,,4.3
2022-01-17,07,Inbound,54304772.0,890,bcec,3,Midpoint,Schedule,1900-01-01 15:38:00,1900-01-01 15:43:30,,,5.5
2022-01-17,07,Inbound,54304772.0,892,sosta,4,Midpoint,Schedule,1900-01-01 15:40:00,1900-01-01 15:46:32,,,6.533333333333333
2022-01-17,07,Inbound,54304772.0,16535,otsum,5,Endpoint,Schedule,1900-01-01 15:45:00,1900-01-01 15:48:48,,,3.8
2022-01-17,07,Inbound,54305055.0,33,ctypt,1,Startpoint,Schedule,1900-01-01 18:50:00,1900-01-01 18:50:37,,,0.6166666666666667
2022-01-17,07,Inbound,54305055.0,886,lbrwy,2,Midpoint,Schedule,1900-01-01 18:54:00,1900-01-01 18:53:51,,,0.0
2022-01-17,07,Inbound,54305055.0,890,bcec,3,Midpoint,Schedule,1900-01-01 18:58:00,1900-01-01 18:57:03,,,0.0
2022-01-17,07,Inbound,54305055.0,892,sosta,4,Midpoint,Schedule,1900-01-01 19:00:00,1900-01-01 18:58:50,,,0.0
2022-01-17,07,Inbound,54305055.0,16535,otsum,5,Endpoint,Schedule,1900-01-01 19:05:00,1900-01-01 19:04:14,,,0.0
2022-01-17,07,Inbound,54305057.0,33,ctypt,1,Startpoint,Schedule,1900-01-01 19:30:00,1900-01-01 19:30:14,,,0.23333333333333334
2022-01-17,07,Inbound,54305057.0,886,lbrwy,2,Midpoint,Schedule,1900-01-01 19:33:00,1900-01-01 19:34:39,,,1.65
2022-01-17,07,Inbound,54305057.0,890,bcec,3,Midpoint,Schedule,1900-01-01 19:36:00,1900-01-01 19:38:43,,,2.716666666666667
2022-01-17,07,Inbound,54305057.0,892,sosta,4,Midpoint,Schedule,1900-01-01 19:38:00,1900-01-01 19:41:10,,,3.1666666666666665
2022-01-17,07,Inbound,54305057.0,16535,otsum,5,Endpoint,Schedule,1900-01-01 19:43:00,1900-01-01 19:51:10,,,8.166666666666666
2022-01-17,07,Inbound,54304798.0,33,ctypt,1,Startpoint,Schedule,1900-01-01 20:10:00,,,,0.0
2022-01-17,07,Inbound,54304798.0,886,lbrwy,2,Midpoint,Schedule,1900-01-01 20:13:00,1900-01-01 20:14:09,,,1.15
2022-01-17,07,Inbound,54304798.0,890,bcec,3,Midpoint,Schedule,1900-01-01 20:16:00,1900-01-01 20:18:55,,,2.9166666666666665
2022-01-17,07,Inbound,54304798.0,892,sosta,4,Midpoint,Schedule,1900-01-01 20:18:00,1900-01-01 20:22:39,,,4.65
2022-01-17,07,Inbound,54304798.0,16535,otsum,5,Endpoint,Schedule,1900-01-01 20:23:00,1900-01-01 20:24:23,,,1.3833333333333333
2022-01-17,07,Inbound,54304800.0,33,ctypt,1,Startpoint,Schedule,1900-01-01 20:50:00,1900-01-01 20:50:14,,,0.23333333333333334
2022-01-17,07,Inbound,54304800.0,886,lbrwy,2,Midpoint,Schedule,1900-01-01 20:53:00,1900-01-01 20:54:16,,,1.2666666666666666
2022-01-17,07,Inbound,54304800.0,890,bcec,3,Midpoint,Schedule,1900-01-01 20:56:00,1900-01-01 20:57:03,,,1.05
2022-01-17,07,Inbound,54304800.0,892,sosta,4,Midpoint,Schedule,1900-01-01 20:58:00,1900-01-01 21:00:59,,,2.9833333333333334
2022-01-17,07,Inbound,54304800.0,16535,otsum,5,Endpoint,Schedule,1900-01-01 21:03:00,1900-01-01 21:02:32,,,0.0
2022-01-17,07,Inbound,54304802.0,33,ctypt,1,Startpoint,Schedule,1900-01-01 21:30:00,1900-01-01 21:30:20,,,0.3333333333333333
2022-01-17,07,Inbound,54304802.0,886,lbrwy,2,Midpoint,Schedule,1900-01-01 21:33:00,1900-01-01 21:34:35,,,1.5833333333333333
2022-01-17,07,Inbound,54304802.0,890,bcec,3,Midpoint,Schedule,1900-01-01 21:36:00,1900-01-01 21:37:08,,,1.1333333333333333
2022-01-17,07,Inbound,54304802.0,892,sosta,4,Midpoint,Schedule,1900-01-01 21:38:00,1900-01-01 21:41:02,,,3.033333333333333
2022-01-17,07,Inbound,54304802.0,16535,otsum,5,Endpoint,Schedule,1900-01-01 21:43:00,1900-01-01 21:42:32,,,0.0
2022-01-17,07,Inbound,54304804.0,33,ctypt,1,Startpoint,Schedule,1900-01-01 22:10:00,1900-01-01 22:10:26,,,0.43333333333333335
2022-01-17,07,Inbound,54304804.0,886,lbrwy,2,Midpoint,Schedule,1900-01-01 22:13:00,1900-01-01 22:17:06,,,4.1
2022-01-17,07,Inbound,54304804.0,890,bcec,3,Midpoint,Schedule,1900-01-01 22:16:00,1900-01-01 22:20:16,,,4.266666666666667
2022-01-17,07,Inbound,54304804.0,892,sosta,4,Midpoint,Schedule,1900-01-01 22:18:00,1900-01-01 22:22:42,,,4.7
2022-01-17,07,Inbound,54304804.0,16535,otsum,5,Endpoint,Schedule,1900-01-01 22:23:00,1900-01-01 22:24:48,,,1.8
2022-01-17,07,Outbound,54304740.0,16535,otsum,1,Startpoint,Schedule,1900-01-01 05:37:00,1900-01-01 05:36:45,,,0.0
2022-01-17,07,Outbound,54304740.0,6564,sosta,2,Midpoint,Schedule,1900-01-01 05:39:00,1900-01-01 05:39:35,,,0.5833333333333334
2022-01-17,07,Outbound,54304740.0,889,bcec,3,Midpoint,Schedule,1900-01-01 05:41:00,1900-01-01 05:42:01,,,1.0166666666666666
2022-01-17,07,Outbound,54304740.0,879,lbrwy,4,Midpoint,Schedule,1900-01-01 05:44:00,1900-01-01 05:43:55,,,0.0
2022-01-17,07,Outbound,54304740.0,33,ctypt,5,Endpoint,Schedule,1900-01-01 05:46:00,1900-01-01 05:46:32,,,0.5333333333333333
2022-01-17,07,Outbound,54304742.0,16535,otsum,1,Startpoint,Schedule,1900-01-01 06:22:00,1900-01-01 06:21:16,,,0.0
2022-01-17,07,Outbound,54304742.0,6564,sosta,2,Midpoint,Schedule,1900-01-01 06:24:00,1900-01-01 06:24:11,,,0.18333333333333332
2022-01-17,07,Outbound,54304742.0,889,bcec,3,Midpoint,Schedule,1900-01-01 06:26:00,1900-01-01 06:25:46,,,0.0
2022-01-17,07,Outbound,54304742.0,879,lbrwy,4,Midpoint,Schedule,1900-01-01 06:29:00,1900-01-01 06:28:39,,,0.0
2022-01-17,07,Outbound,54304742.0,33,ctypt,5,Endpoint,Schedule,1900-01-01 06:31:00,1900-01-01 06:31:12,,,0.2
2022-01-17,07,Outbound,54304748.0,16535,otsum,1,Startpoint,Schedule,1900-01-01 06:37:00,1900-01-01 06:46:03,,,9.05
2022-01-17,07,Outbound,54304748.0,6564,sosta,2,Midpoint,Schedule,1900-01-01 06:40:00,1900-01-01 06:49:09,,,9.15
2022-01-17,07,Outbound,54304748.0,889,bcec,3,Midpoint,Schedule,1900-01-01 06:42:00,1900-01-01 06:51:03,,,9.05
2022-01-17,07,Outbound,54304748.0,879,lbrwy,4,Midpoint,Schedule,1900-01-01 06:45:00,1900-01-01 06:56:06,,,11.1
2022-01-17,07,Outbound,54304748.0,33,ctypt,5,Endpoint,Schedule,1900-01-01 06:47:00,1900-01-01 06:59:02,,,12.033333333333333
2022-01-17,07,Outbound,54304750.0,16535,otsum,1,Startpoint,Schedule,1900-01-01 07:22:00,1900-01-01 07:22:28,,,0.4666666666666667
2022-01-17,07,Outbound,54304750.0,6564,sosta,2,Midpoint,Schedule,1900-01-01 07:25:00,1900-01-01 07:24:24,,,0.0
2022-01-17,07,Outbound,54304750.0,889,bcec,3,Midpoint,Schedule,1900-01-01 07:27:00,1900-01-01 07:25:42,,,0.0
