,id,description,direction_destinations,direction_names,long_name,short_name,type
21,CR-Lowell,Commuter Rail,"['Lowell', 'North Station']","['Outbound', 'Inbound']",Lowell Line,,2
22,CR-Middleborough,Commuter Rail,"['Middleborough/Lakeville', 'South Station']","['Outbound', 'Inbound']",Middleborough/Lakeville Line,,2
23,CR-Needham,Commuter Rail,"['Needham Heights', 'South Station']","['Outbound', 'Inbound']",Needham Line,,2
24,CR-Newburyport,Commuter Rail,"['Newburyport or Rockport', 'North Station']","['Outbound', 'Inbound']",Newburyport/Rockport Line,,2
25,CR-Providence,Commuter Rail,"['Stoughton or Wickford Junction', 'South Station']","['Outbound', 'Inbound']",Providence/Stoughton Line,,2
26,CR-Foxboro,Commuter Rail,"['Foxboro or Providence', 'South Station or Foxboro']","['Outbound', 'Inbound']",Foxboro Event Service,,2
27,Boat-F4,Ferry,"['Charlestown', 'Long Wharf']","['Outbound', 'Inbound']",Charlestown Ferry,,4
28,Boat-F1,Ferry,"['Hingham or Hull', 'Long Wharf or Rowes Wharf']","['Outbound', 'Inbound']",Hingham/Hull Ferry,,4
29,Boat-EastBoston,Ferry,"['Lewis Mall Wharf', 'Long Wharf']","['Outbound', 'Inbound']",East Boston Ferry,,4
30,Boat-Lynn,Ferry,"['Blossom Street Pier', 'Long Wharf']","['Outbound', 'Inbound']",Lynn Ferry,,4
31,Boat-F6,Ferry,"['Winthrop', 'Central Wharf']","['Outbound', 'Inbound']",Winthrop Ferry,,4
32,747,Local Bus,"['Sullivan Square Station', 'Ruggles Station']","['Outbound', 'Inbound']",Sullivan Square Station - Ruggles Station,CT2,3
33,708,Local Bus,"['Beth Israel Deaconess Hospital', 'Andrew Station']","['Outbound', 'Inbound']",Beth Israel Deaconess Hospital - Andrew Station,CT3,3
34,1,Key Bus,"['Harvard Square', 'Nubian Station']","['Outbound', 'Inbound']",Harvard Square - Nubian Station,1,3
35,4,Commuter Bus,"['North Station', 'Tide Street']","['Outbound', 'Inbound']",North Station - Tide Street,4,3
36,7,Local Bus,"['City Point', 'Otis Street & Summer Street']","['Outbound', 'Inbound']",City Point - Otis Street & Summer Street,7,3
37,8,Local Bus,"['Harbor Point', 'Kenmore Station']","['Outbound', 'Inbound']",Harbor Point - Kenmore Station,8,3
38,9,Local Bus,"['City Point', 'Copley Square']","['Outbound', 'Inbound']",City Point - Copley Square,9,3
39,10,Local Bus,"['City Point', 'Copley Square']","['Outbound', 'Inbound']",City Point - Copley Square,10,3
40,11,Local Bus,"['City Point', 'Chauncy Street & Summer Street']","['Outbound', 'Inbound']",City Point - Chauncy Street & Summer Street,11,3
41,14,Local Bus,"['Roslindale Square', 'Heath Street']","['Outbound', 'Inbound']",Roslindale Square - Heath Street,14,3
42,15,Key Bus,"['Fields Corner Station or Kane Square', 'Ruggles Station']","['Outbound', 'Inbound']",Fields Corner Station or Kane Square - Ruggles Station,15,3
43,16,Local Bus,"['Forest Hills Station', 'Andrew Station or Harbor Point']","['Outbound', 'Inbound']",Forest Hills Station - Andrew Station or Harbor Point,16,3
44,17,Local Bus,"['Fields Corner Station', 'Andrew Station']","['Outbound', 'Inbound']",Fields Corner Station - Andrew Station,17,3
