,Unnamed: 0,id,stop_name,description,longitude,latitude,address,at_street,on_street,municipality,location_type,has_wheelchair_boarding,vehicle_type,neighborhood
1,1,2560,N Harvard St @ Kingsley St,,-71.130333,42.361892,,Franklin Street,North Harvard Street,Boston,0,1,3.0,Allston
2,2,333,E 1st St @ City Point Bus Terminal,,-71.031327,42.338284,,Busway,East First Street,Boston,0,1,3.0,South Boston
5,5,843,Lagrange St @ Dent St,,-71.159686,42.281377,,Dent Street,La Grange Street,Boston,0,1,3.0,West Roxbury
6,6,5219,Centre St @ Bradfield Ave,,-71.140829,42.290298,,Bradfield Avenue,Centre Street,Boston,0,1,3.0,Roslindale
10,10,1239,Tremont St @ Marginal St,,-71.067595,42.34818,,Church Street,Tremont Street,Boston,0,1,3.0,Chinatown
12,12,node-state-oldstate-fareunpaid,State,State - Unpaid side of fare gates,,,,,,Boston,3,1,,
13,13,436,Norfolk St @ Charles Rd,,-71.079551,42.286419,,Thetford Avenue,Norfolk Street,Boston,0,1,3.0,Dorchester
14,14,501,Gallivan Blvd @ Nevada St,,-71.072729,42.278153,,Pleasant Hill Avenue,Gallivan Boulevard,Boston,0,2,3.0,Dorchester
18,18,570,Dorchester Ave @ St Gregory St,,-71.067229,42.275594,,Saint Gregory Street,Dorchester Avenue,Boston,0,1,3.0,Mattapan
23,23,node-bbsta-w57stairs-platform,Back Bay,Back Bay - Bottom of Tracks 5-7 west stairs,,,,,,Boston,3,1,,
25,25,6409,Washington St @ Faraday St,,-71.123604,42.244059,,Faraday Street,Washington Street,Boston,0,1,3.0,Hyde Park
26,26,node-rugg-crstairs-lobby,Ruggles,Ruggles - Top of Commuter Rail (Tracks 1 & 3) platform stairs,,,,,,Boston,3,1,,
31,31,70129,Griggs Street,Griggs Street - Green Line - (B) Boston College,-71.134305,42.348919,,,,Boston,0,2,0.0,Allston
32,32,6357,River St @ Way St,,-71.12058,42.256236,,Way Street,River Street,Boston,0,1,3.0,Hyde Park
35,35,6405,Washington St @ Dana Ave,,-71.118824,42.24676,,Dana Avenue,Washington Street,Boston,0,1,3.0,Hyde Park
40,40,480,Washington St @ Algonquin St,,-71.072631,42.297467,,Bradlee Street,Washington Street,Boston,0,1,3.0,Dorchester
45,45,NEC-2287-01,South Station,South Station - Commuter Rail - Track 1,-71.05571,42.351302,,,,Boston,0,1,2.0,Downtown
46,46,6535,Franklin St @ Devonshire St,,-71.057253,42.355521,,Devonshire Street,Franklin Street,Boston,0,1,3.0,Downtown
48,48,door-jfk-oldcolony,"JFK/UMass - Busway, JFK Library, Mount Vernon St (Stairs)","JFK/UMass - Busway, JFK Library, Mount Vernon St (Stairs)",-71.051623,42.320829,,,,Boston,2,2,,Dorchester
49,49,1615,Georgetowne Dr @ Margaretta Dr,,-71.144959,42.25809,,,Georgetowne Drive,Boston,0,1,3.0,West Roxbury
51,51,node-mvbcl-lewfareunpaid,Maverick,Maverick - Unpaid side of Lewis Mall fare gates,-71.040301,42.368184,,,,Boston,3,1,,East Boston
56,56,NEC-2265-01,Ruggles,Ruggles - Commuter Rail - Track 1,-71.089517,42.336339,,,,Boston,0,1,2.0,Roxbury
59,59,525,Morton St @ Greendale Rd,,-71.093181,42.28537,,Wellington Hill Street,Morton Street,Boston,0,1,3.0,Mattapan
62,62,node-state-ogoldstatehousestairs-nbplatform,State,"State - Bottom of stairs between Oak Grove platform and State St, Devonshire St",,,,,,Boston,3,1,,
68,68,node-998-ol,Downtown Crossing,Downtown Crossing - Top of elevator between Alewife platform and Oak Grove platform,,,,,,Boston,3,1,,
71,71,10768,Centre St @ Grove St,,-71.161907,42.268863,,Grove Street,Centre Street,Boston,0,1,3.0,West Roxbury
72,72,16538,Chauncy St @ Summer St,,-71.059508,42.354271,,Summer Street,Chauncey Street,Boston,0,1,3.0,Downtown
77,77,1470,Bowdoin St @ Norton St,,-71.06809,42.305319,,Olney Street,Bowdoin Street,Boston,0,1,3.0,Dorchester
79,79,node-923-platform,Aquarium,Aquarium - Bottom of elevator between Bowdoin platform and Atlantic Avenue,,,,,,Boston,3,1,,
81,81,70130,Harvard Avenue,Harvard Avenue - Green Line - Park Street & North,-71.131298,42.350263,,,,Boston,0,1,0.0,Allston
82,82,door-shmnl-sydney,Savin Hill - South Sydney St,Savin Hill - South Sydney St,-71.053701,42.310856,,,,Boston,2,1,,Dorchester
85,85,node-jfk-ashcolstair-lobby,JFK/UMass,"JFK/UMass - Top of stairs from Ashmont, Alewife platform and Columbia Road",-71.052585,42.321284,,,,Boston,3,1,,Dorchester
88,88,10821,Charles Park Rd @ VFW Pkwy,,-71.172521,42.276826,,Veterans Of Foreign Wars Parkway,Charles Park Road,Boston,0,1,3.0,West Roxbury
91,91,node-840-lobby,Sullivan Square,Sullivan Square - Top of Elevator 840,,,,,,Boston,3,1,,
93,93,2551,N Harvard St @ Gate 2 Harvard Stadium,,-71.125108,42.366948,,,North Harvard Street,Boston,0,1,3.0,Allston
94,94,86458,Cummins Hwy @ Calvary Cemetery,,-71.114692,42.277571,,Mount Calvary Road,Cummins Highway,Boston,0,1,3.0,Roslindale
95,95,5903,Lexington St @ Marion St,,-71.037177,42.377783,,Marion Street,Lexington Street,Boston,0,1,3.0,East Boston
96,96,node-406-lobby,Aquarium,Aquarium - Bottom of escalator from lobby to Atlantic Avenue,,,,,,Boston,3,1,,
102,102,6376,River St @ Metropolitan Ave,,-71.115601,42.260492,,Metropolitan Avenue,River Street,Boston,0,1,3.0,Hyde Park
106,106,6394,Beacon St @ Metropolitan Ave,,-71.112847,42.255414,,Vose Avenue,Beacon Street,Boston,0,1,3.0,Hyde Park
108,108,191,Congress St @ North St,,-71.057129,42.360387,,North Street,Congress Street,Boston,0,1,3.0,Downtown
116,116,2865,Bunker Hill St @ N Mead St,,-71.066955,42.381137,,North Mead Street,Bunker Hill Street,Boston,0,1,3.0,Charlestown
117,117,70078,Downtown Crossing,Downtown Crossing - Red Line - Alewife,-71.060225,42.355518,,,,Boston,0,1,1.0,Downtown
119,119,70241,Symphony,Symphony - Green Line - (E) Heath Street,-71.085056,42.342687,,,,Boston,0,2,0.0,Fenway
123,123,70151,Kenmore,"Kenmore - Green Line - (C) Cleveland Circle, (D) Riverside",-71.095169,42.348949,,,,Boston,0,1,0.0,Fenway
124,124,NEC-2237,Forest Hills,Forest Hills - Commuter Rail,-71.113551,42.301085,,,,Boston,0,1,2.0,Jamaica Plain
126,126,2854,Adams St @ Lowney Way,,-71.058189,42.374386,,Mount Vernon Street,Adams Street,Boston,0,1,3.0,Charlestown
132,132,node-prmnl-921ramp-platform,Prudential,Prudential - Bottom of ramp for elevator,,,,,,Boston,3,1,,
133,133,577,River St opp Leahaven Rd,,-71.082411,42.27135,,,River Street,Boston,0,1,3.0,Mattapan
135,135,node-spmnl-sfarepaid,Science Park/West End,Science Park/West End - Paid side of fare gates,-71.06786,42.36677,,,,Boston,3,1,,West End
138,138,1751,106 Heath St opp Bickford Ave,,-71.101936,42.326316,,Bickford Avenue,Heath Street,Boston,0,1,3.0,Jamaica Plain
139,139,895,E Broadway @ N St,,-71.031442,42.335747,,N Street,East Broadway,Boston,0,1,3.0,South Boston
140,140,832,Stimson St @ Washington St,,-71.158675,42.260206,,Washington Street,Stimson Street,Boston,0,1,3.0,West Roxbury
141,141,1886,Weld St @ Avalon Rd,,-71.15855,42.291864,,Avalon Road,Weld Street,Boston,0,1,3.0,West Roxbury
142,142,5886,Waldemar Ave @ McClellan Hwy,,-71.011238,42.39341,,McClellan Highway,Waldemar Avenue,Boston,0,1,3.0,East Boston
145,145,12852,Vine St @ Bunker Hill St,,-71.05686,42.376958,,Bunker Hill Street,Vine Street,Boston,0,1,3.0,Charlestown
146,146,1366,Huntington Ave @ Riverway,,-71.113099,42.331966,,Washington Street,Huntington Avenue,Boston,0,1,3.0,Jamaica Plain
153,153,8342,Freeport St @ Morrisey Blvd,,-71.048106,42.292588,,William T Morrissey Boulevard,Freeport Street,Boston,0,1,3.0,Dorchester
157,157,70244,Northeastern University,Northeastern University - Green Line - Park Street & North,-71.0892,42.340222,,,,Boston,0,1,0.0,Fenway
161,161,6369,River St @ Caton St,,-71.099618,42.264916,,Mattakeeset Street,River Street,Boston,0,1,3.0,Hyde Park
162,162,36495,Hyde Park Ave @ Dellmore Rd,,-71.118265,42.290215,,Dellmore Road,Hyde Park Avenue,Boston,0,1,3.0,Jamaica Plain
165,165,node-dwnxg-macysramp-lobby,Downtown Crossing,Downtown Crossing - Bottom of ramp between Macy's and Summer Street Concourse,,,,,,Boston,3,1,,
167,167,847,Lagrange St opp Virgil Rd,,-71.161535,42.283852,,Virgil Road,La Grange Street,Boston,0,1,3.0,West Roxbury
174,174,place-wrnst,Warren Street,,-71.140457,42.348343,"Commonwealth Ave and Warren St, Boston, MA",,,Boston,1,2,,Allston
175,175,497,Gallivan Blvd @ Milton Ave,,-71.075075,42.278267,,Milton Avenue,Gallivan Boulevard,Boston,0,1,3.0,Dorchester
179,179,1850,Weld St @ Ravenna Rd,,-71.143325,42.293107,,Ravenna Road,Weld Street,Boston,0,1,3.0,West Roxbury
181,181,1574,Blue Hill Ave @ Moreland St,,-71.076673,42.322776,,Moreland Street,Blue Hill Avenue,Boston,0,1,3.0,Roxbury
185,185,door-north-causeways,"North Station - Causeway St, Haverhill St","North Station - Causeway St, Haverhill St",-71.06049,42.365496,,,,Boston,2,2,,West End
187,187,node-mvbcl-lewfarepaid,Maverick,Maverick - Paid side of Lewis Mall fare gates,-71.040301,42.368184,,,,Boston,3,1,,East Boston
189,189,node-forhl-busfareunpaid,Forest Hills,Forest Hills - Unpaid side of fare gates,-71.114062,42.300742,,,,Boston,3,1,,Jamaica Plain
196,196,49704,Tremont St @ Beacon St,,-71.060394,42.358108,,School Street,Tremont Street,Boston,0,1,3.0,Downtown
211,211,door-chncl-foresthills,"Chinatown - Washington St, Essex St","Chinatown - Washington St, Essex St",-71.062678,42.352457,,,,Boston,2,2,,Downtown
215,215,1089,Chestnut Hill Ave @ South St,,-71.155272,42.340595,,Strathmore Road,Chestnut Hill Avenue,Boston,0,1,3.0,Brighton
217,217,node-aport-bremenstairs-bridge,Airport,Airport - Top of stairs on unpaid Bremen Street side,-71.030366,42.374438,,,,Boston,3,1,,East Boston
220,220,70249,Brigham Circle,Brigham Circle - Green Line - (E) Heath Street,-71.104487,42.334331,,,,Boston,0,1,0.0,Mission Hill
221,221,70246,Museum of Fine Arts,Museum of Fine Arts - Green Line - Park Street & North,-71.094682,42.338017,,,,Boston,0,1,0.0,Fenway
225,225,70204,Haymarket,Haymarket - Green Line - Copley & West,-71.05829,42.363021,,,,Boston,0,1,0.0,Downtown
226,226,1189,Soldiers Field Rd @ Cambridge St,,-71.117952,42.361317,,Cambridge Street,Ramp - Western Ave To Soldiers Field Rd Eastbound,Boston,0,2,3.0,Allston
227,227,node-rcmnl-stairs-platform,Roxbury Crossing,Roxbury Crossing - Bottom of stairs,-71.095731,42.331167,,,,Boston,3,1,,Mission Hill
228,228,568,Geneva Ave @ Blue Hill Ave,,-71.082804,42.308694,,Blue Hill Avenue,Geneva Avenue,Boston,0,1,3.0,Dorchester
229,229,29014,Sullivan Square,Sullivan Square - Lower Berth 14,-71.076089,42.383917,,,Busway,Boston,0,1,3.0,Charlestown
233,233,node-148-platform,Tufts Medical Center,Tufts Medical Center - Bottom of Escalator 148,,,,,,Boston,3,1,,
234,234,1484,Dudley St @ E Cottage St,,-71.072135,42.321419,,East Cottage Street,Dudley Street,Boston,0,1,3.0,Roxbury
235,235,1569,Blue Hill Ave @ Quincy St,,-71.078817,42.314494,,Quincy Street,Blue Hill Avenue,Boston,0,1,3.0,Dorchester
239,239,393,Warren St @ Woodbine St,,-71.08138,42.319956,,Woodbine Street,Warren Street,Boston,0,1,3.0,Roxbury
243,243,node-419-middle,South Station,South Station - Bottom of Escalator 419,,,,,,Boston,3,1,,
248,248,node-715-street,Orient Heights,Orient Heights - Bottom of Elevator 715,-71.004704,42.386795,,,,Boston,3,1,,East Boston
253,253,node-927-rl,South Station,South Station - Bottom of Elevator 927,,,,,,Boston,3,1,,
