,id,stop_name,description,longitude,latitude,address,at_street,on_street,municipality,location_type,has_wheelchair_boarding,vehicle_type
0,2689,422 McGrath Hwy,,-71.091137,42.382606,,,McGrath Highway,Somerville,0,1,3.0
1,2560,N Harvard St @ Kingsley St,,-71.130333,42.361892,,Franklin Street,North Harvard Street,Boston,0,1,3.0
2,333,E 1st St @ City Point Bus Terminal,,-71.031327,42.338284,,Busway,East First Street,Boston,0,1,3.0
3,4167,N Main St @ Hills St,,-71.061267,42.197378,,Hills Street,North Main Street,Randolph,0,1,3.0
4,7919,Massachusetts Ave opp Drake Rd,,-71.189411,42.425322,,Drake Road,Massachusetts Avenue,Arlington,0,1,3.0
5,843,Lagrange St @ Dent St,,-71.159686,42.281377,,Dent Street,La Grange Street,Boston,0,1,3.0
6,5219,Centre St @ Bradfield Ave,,-71.140829,42.290298,,Bradfield Avenue,Centre Street,Boston,0,1,3.0
7,70234,Dean Road,Dean Road - Green Line - Park Street & North,-71.142309,42.337628,,,,Brookline,0,2,0.0
8,5826,Winthrop Ave @ Beach St,,-71.010246,42.407203,,Beach Street,Winthrop Avenue,Revere,0,1,3.0
9,2288,Massachusetts Ave @ Brattle St,,-71.169933,42.420463,,Brattle Street,Massachusetts Avenue,Arlington,0,1,3.0
10,1239,Tremont St @ Marginal St,,-71.067595,42.34818,,Church Street,Tremont Street,Boston,0,1,3.0
11,6143,Essex St @ Chatham St,,-70.934655,42.471625,,Chatham Street,Essex Street,Lynn,0,1,3.0
12,node-state-oldstate-fareunpaid,State,State - Unpaid side of fare gates,,,,,,Boston,3,1,
13,436,Norfolk St @ Charles Rd,,-71.079551,42.286419,,Thetford Avenue,Norfolk Street,Boston,0,1,3.0
14,501,Gallivan Blvd @ Nevada St,,-71.072729,42.278153,,Pleasant Hill Avenue,Gallivan Boulevard,Boston,0,2,3.0
15,3193,Newport Ave @ Lincoln Ave,,-71.017689,42.263566,,Lincoln Avenue,Newport Avenue,Quincy,0,1,3.0
16,3662,North St opp Curtis St,,-70.944161,42.240647,,Curtis Street,North Street,Weymouth,0,1,3.0
17,7357,Lynnfield St @ Averill St,,-70.964721,42.487182,,Averill Street,Lynnfield Street,Lynn,0,1,3.0
18,570,Dorchester Ave @ St Gregory St,,-71.067229,42.275594,,Saint Gregory Street,Dorchester Avenue,Boston,0,1,3.0
19,89609,Totten Pond Rd @ Winter St,,-71.253762,42.397559,,,Totten Pond Road,Waltham,0,1,3.0
20,3877,Hancock St @ Highland Ave,,-71.006572,42.192026,,Highland Avenue,Hancock Street,Braintree,0,1,3.0
21,CM-0564-S,Bourne,Bourne - CapeFLYER - Track 1 (All Trains),-70.588772,41.746497,,,,Bourne,0,1,2.0
22,3996,S Franklin St @ Diman Ave,,-71.008903,42.128749,,Diman Avenue,South Franklin Street,Holbrook,0,1,3.0
23,node-bbsta-w57stairs-platform,Back Bay,Back Bay - Bottom of Tracks 5-7 west stairs,,,,,,Boston,3,1,
24,3931,Washington St opp Hobart Ave,,-71.003654,42.208851,,Hobart Avenue,Washington Street,Braintree,0,1,3.0
25,6409,Washington St @ Faraday St,,-71.123604,42.244059,,Faraday Street,Washington Street,Boston,0,1,3.0
26,node-rugg-crstairs-lobby,Ruggles,Ruggles - Top of Commuter Rail (Tracks 1 & 3) platform stairs,,,,,,Boston,3,1,
27,5552,Elm St @ Jefferson Ave,,-71.039644,42.413554,,Jefferson Avenue,Elm Street,Everett,0,0,3.0
28,node-bmmnl-378stair-lobby,Beachmont,Beachmont - Bottom of stairs for Bowdoin,-70.992599,42.397377,,,,Revere,3,1,
29,6626,Spring Rd @ Emerald Rd,,-70.926173,42.425708,,Emerald Road,Spring Road,Nahant,0,1,3.0
30,4230,Main St opp Demarco Park,,-71.039778,42.133687,,,North Main Street,Avon,0,1,3.0
31,70129,Griggs Street,Griggs Street - Green Line - (B) Boston College,-71.134305,42.348919,,,,Boston,0,2,0.0
32,6357,River St @ Way St,,-71.12058,42.256236,,Way Street,River Street,Boston,0,1,3.0
33,8212,Oak St @ Elliot St,,-71.221176,42.312554,,Elliot Street,Oak Street,Newton,0,1,3.0
34,6715,Opp 323 Walnut St,,-71.00644,42.480159,,Pond Street,Walnut Street,Saugus,0,1,3.0
35,6405,Washington St @ Dana Ave,,-71.118824,42.24676,,Dana Avenue,Washington Street,Boston,0,1,3.0
36,2143,Concord Ave @ Edgemoor Rd,,-71.163816,42.392231,,Edgemoor Road,Concord Avenue,Belmont,0,1,3.0
37,2674,Highland Ave @ Cutter Ave,,-71.119331,42.395122,,Cutter Avenue,Highland Avenue,Somerville,0,1,3.0
38,2429,Rindge Ave @ Pemberton St,,-71.125386,42.392521,,Pemberton Street,Rindge Avenue,Cambridge,0,1,3.0
39,70105,Braintree,Braintree - Red Line,-71.001645,42.207424,,,,Braintree,0,1,1.0
40,480,Washington St @ Algonquin St,,-71.072631,42.297467,,Bradlee Street,Washington Street,Boston,0,1,3.0
41,7442,30 Lincoln Ave,,-70.989327,42.458849,,Chestnut Street,Lincoln Avenue,Saugus,0,1,3.0
42,node-qnctr-elevfareunpaid,Quincy Center,Quincy Center - Unpaid side of Elevator 810 fare gates,-71.00522,42.251538,,,,Quincy,3,1,
43,8436,Massachusetts Ave opp Pleasant St,,-71.206655,42.428863,,Pleasant Street,Massachusetts Avenue,Lexington,0,1,3.0
44,node-341-lobby,Davis,Davis - Top of Escalator 341,,,,,,Somerville,3,1,
45,NEC-2287-01,South Station,South Station - Commuter Rail - Track 1,-71.05571,42.351302,,,,Boston,0,1,2.0
46,6535,Franklin St @ Devonshire St,,-71.057253,42.355521,,Devonshire Street,Franklin Street,Boston,0,1,3.0
47,ER-0362-02,Newburyport,Newburyport - Commuter Rail - Track 2,-70.87797,42.797837,,,,Newburyport,0,1,2.0
