route_id,neighborhood
95,Charlestown
93,West End
93,North End
93,Downtown
93,Charlestown
92,West End
92,North End
92,Downtown
92,Charlestown
91,Charlestown
90,Charlestown
89,Charlestown
86,Fenway
86,Charlestown
86,Brighton
86,Allston
751,South End
751,Roxbury
751,Downtown
751,Chinatown
749,South End
749,Roxbury
749,Downtown
749,Chinatown
749,Beacon Hill
747,Roxbury
747,Mission Hill
747,Longwood
747,Jamaica Plain
747,Fenway
747,Charlestown
747,Allston
746,South Boston Waterfront
746,Downtown
743,South Boston Waterfront
743,East Boston
743,Downtown
742,South Boston Waterfront
742,Downtown
741,South Boston Waterfront
741,East Boston
741,Downtown
716,Mattapan
713,East Boston
713,Harbor Islands
712,East Boston
712,Harbor Islands
708,South End
708,South Boston
708,Roxbury
708,Mission Hill
708,Longwood
708,Jamaica Plain
708,Fenway
708,Dorchester
70,Fenway
70,Brighton
70,Allston
66,Roxbury
66,Mission Hill
66,Longwood
66,Jamaica Plain
66,Allston
57,Brighton
57,Allston
23,Roxbury
23,Dorchester
66,Brighton
66,Fenway
65,Mission Hill
65,Longwood
65,Jamaica Plain
65,Fenway
65,Brighton
64,Fenway
64,Brighton
64,Allston
60,Mission Hill
60,Longwood
60,Jamaica Plain
60,Fenway
8,Mission Hill
8,Longwood
8,Jamaica Plain
8,Fenway
57,Fenway
57,Longwood
57,Jamaica Plain
55,Fenway
55,Back Bay
52,West Roxbury
51,West Roxbury
51,Roslindale
51,Jamaica Plain
51,Brighton
51,Allston
505,South End
505,Fenway
505,Downtown
505,Chinatown
505,Brighton
505,Back Bay
505,Allston
504,South End
504,Fenway
504,Downtown
504,Chinatown
504,Brighton
504,Back Bay
504,Allston
501,South End
501,Fenway
501,Downtown
501,Chinatown
501,Brighton
501,Back Bay
501,Allston
50,Roslindale
50,Jamaica Plain
50,Hyde Park
47,South End
47,South Boston
47,Roxbury
47,Mission Hill
47,Longwood
47,Jamaica Plain
47,Fenway
47,Allston
45,Roxbury
45,Mission Hill
45,Fenway
45,Dorchester
450,West End
450,North End
450,East Boston
450,Downtown
44,Roxbury
44,Mission Hill
44,Jamaica Plain
44,Fenway
43,South End
43,Roxbury
43,Downtown
43,Chinatown
43,Beacon Hill
428,West End
428,North End
428,Downtown
428,Charlestown
426,West End
426,North End
426,Downtown
426,Charlestown
426,East Boston
42,Roxbury
42,Jamaica Plain
41,South Boston
41,Roxbury
41,Jamaica Plain
41,Dorchester
4050,West Roxbury
4050,Roslindale
4050,Jamaica Plain
4050,Hyde Park
40,West Roxbury
40,Roslindale
40,Jamaica Plain
40,Hyde Park
39,Mission Hill
39,Longwood
39,Jamaica Plain
39,Fenway
39,South End
39,Back Bay
38,West Roxbury
38,Roslindale
38,Jamaica Plain
38,Roxbury
38,Dorchester
37,West Roxbury
37,Roslindale
37,Jamaica Plain
36,West Roxbury
36,Roslindale
36,Jamaica Plain
36,Roxbury
36,Dorchester
354,West End
354,Downtown
354,Charlestown
35,West Roxbury
35,Roslindale
35,Jamaica Plain
35,Mission Hill
35,Longwood
35,Fenway
34E,West Roxbury
34E,Roslindale
34E,Jamaica Plain
34E,Hyde Park
34,West Roxbury
34,Roslindale
34,Jamaica Plain
34,Hyde Park
34,Roxbury
34,Dorchester
33,Roslindale
33,Jamaica Plain
33,Hyde Park
33,West Roxbury
33,Mattapan
3233,Roslindale
3233,Jamaica Plain
3233,Hyde Park
32,Roslindale
32,Jamaica Plain
32,Hyde Park
32,Roxbury
32,Dorchester
31,Mattapan
31,Jamaica Plain
31,Dorchester
30,Roslindale
30,Mattapan
30,Jamaica Plain
30,Hyde Park
29,Roxbury
29,Mattapan
29,Jamaica Plain
29,Dorchester
29,Mission Hill
29,Fenway
28,Roxbury
28,Mattapan
28,Dorchester
28,Mission Hill
28,Longwood
28,Jamaica Plain
28,Fenway
26,Mattapan
26,Dorchester
245,Mattapan
24,Mattapan
24,Hyde Park
24,Dorchester
240,Mattapan
240,Dorchester
23,Mission Hill
23,Fenway
22,Roxbury
22,Jamaica Plain
22,Dorchester
22,Mission Hill
22,Longwood
22,Fenway
8,Roxbury
217,Mattapan
217,Dorchester
215,Mattapan
215,Dorchester
21,Mattapan
21,Jamaica Plain
21,Dorchester
210,Dorchester
202,Dorchester
201,Dorchester
8993,West End
8993,North End
8993,Downtown
8993,Charlestown
57,Downtown
57,Chinatown
57,Beacon Hill
57,Back Bay
