,Route,Endpoint,Date,Time
0,741,Silver Line Way to World Trade Center,2023-10-22,00:01:00
1,741,World Trade Center to Courthouse,2023-10-22,00:02:00
2,741,Courthouse to Terminal A,2023-10-22,00:02:00
3,741,Terminal A to South Station,2023-10-22,00:00:00
4,741,South Station to Terminal B Stop 1 - Arrivals Level,2023-10-22,00:02:00
5,741,Terminal B Stop 1 - Arrivals Level to Terminal B Stop 2 - Arrivals Level,2023-10-22,00:02:00
6,741,Terminal B Stop 2 - Arrivals Level to Terminal C - Arrivals Level,2023-10-22,00:02:00
7,741,Terminal C - Arrivals Level to Terminal E - Arrivals Level,2023-10-22,00:02:00
8,741,Terminal E - Arrivals Level to Silver Line Way,2023-10-22,00:00:00
9,741,Silver Line Way to World Trade Center,2023-10-22,00:01:00
10,741,World Trade Center to Courthouse,2023-10-22,00:02:00
11,741,Courthouse to South Station,2023-10-22,00:02:00
12,741,South Station to Terminal A,2023-10-22,00:01:00
13,741,Terminal A to Silver Line Way,2023-10-22,00:01:00
14,741,Silver Line Way to Terminal B Stop 1 - Arrivals Level,2023-10-22,00:01:00
15,741,Terminal B Stop 1 - Arrivals Level to World Trade Center,2023-10-22,00:00:00
16,741,World Trade Center to Terminal B Stop 2 - Arrivals Level,2023-10-22,00:02:00
17,741,Terminal B Stop 2 - Arrivals Level to Courthouse,2023-10-22,00:00:00
18,741,Courthouse to Terminal C - Arrivals Level,2023-10-22,00:02:00
19,741,Terminal C - Arrivals Level to South Station,2023-10-22,00:00:00
20,741,South Station to Silver Line Way,2023-10-22,00:01:00
21,741,Silver Line Way to Terminal E - Arrivals Level,2023-10-22,00:01:00
22,741,Terminal E - Arrivals Level to World Trade Center,2023-10-22,00:00:00
23,741,World Trade Center to Congress St @ World Trade Center Sta,2023-10-22,00:01:00
24,741,Congress St @ World Trade Center Sta to Courthouse,2023-10-22,00:01:00
25,741,Courthouse to South Station,2023-10-22,00:02:00
26,741,South Station to Silver Line Way,2023-10-22,00:01:00
27,741,Silver Line Way to World Trade Center,2023-10-22,00:01:00
28,741,World Trade Center to South Station,2023-10-22,00:00:00
29,741,South Station to Terminal A,2023-10-22,00:00:00
30,741,Terminal A to Courthouse,2023-10-22,00:01:00
31,741,Courthouse to Terminal B Stop 1 - Arrivals Level,2023-10-22,00:01:00
