start station name,number of rides,start station latitude,start station longitude,neighbourhood
Charles Circle - Charles St at Cambridge St,41246,42.36079296858265,-71.07118962337152,Beacon Hill
Christian Science Plaza - Massachusetts Ave at Westland Ave,37786,42.3436658245146,-71.08582377433777,Fenway / Kenmore
Commonwealth Ave at Agganis Way,35904,42.35169201885973,-71.11903488636017,Allston
Forsyth St at Huntington Ave,35428,42.339202,-71.090511,Fenway / Kenmore
Boylston St at Massachusetts Ave,34319,42.34740620525209,-71.08678414955648,Back Bay
Landmark Center - Brookline Ave at Park Dr,31597,42.34369055719748,-71.10235286881107,Fenway / Kenmore
Beacon St at Massachusetts Ave,31213,42.35082680669095,-71.0898108780384,Fenway / Kenmore
Newbury St at Hereford St,30981,42.348717,-71.085954,Back Bay
Deerfield St at Commonwealth Ave,29203,42.34924376955301,-71.09728209692548,Allston
Cross St at Hanover St,28110,42.362811,-71.056067,North End
Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,26747,42.33624444796878,-71.08798563480377,Fenway / Kenmore
Boylston St at Jersey St,25916,42.34465062887831,-71.09732501226972,Fenway / Kenmore
South Station - 700 Atlantic Ave,25652,42.352175,-71.055547,Downtown Boston
Chinatown T Stop,24942,42.352409,-71.062679,Downtown Boston
Packard's Corner - Commonwealth Ave at Brighton Ave,24300,42.352261,-71.123831,Allston
Mugar Way at Beacon St,24051,42.35553628489709,-71.07286870479584,Beacon Hill
Boylston St at Exeter St,23343,42.349589423682445,-71.0794677917329,Back Bay
Copley Square - Dartmouth St at Boylston St,22701,42.34992828230057,-71.07739206866427,Back Bay
Longwood Ave at Binney St,22438,42.338629,-71.1065,Fenway / Kenmore
Nashua Street at Red Auerbach Way,21815,42.365673,-71.064263,West End
Seaport Blvd at Sleeper St,21382,42.35317809186252,-71.04817356923377,South Boston
Washington St at Rutland St,21203,42.338514601786,-71.07404083013535,South End
Cambridge St at Joy St,20750,42.36125721646537,-71.06528744101524,West End
Boston City Hall - 28 State St,20518,42.35892,-71.057629,Financial District
Canal St at Causeway St,20206,42.36530094929082,-71.06092190993877,West End
700 Commonwealth Ave.,19902,42.34960945333059,-71.10391523698127,Fenway / Kenmore
Boylston St at Arlington St,19896,42.35254842775383,-71.06767407367443,
Kenmore Square,19562,42.348706,-71.097009,Fenway / Kenmore
Lewis Wharf at Atlantic Ave,19465,42.363871,-71.050877,North End
B.U. Central - 725 Comm. Ave.,19342,42.350406,-71.108279,Fenway / Kenmore
Back Bay T Stop - Dartmouth St at Stuart St,18912,42.34807412317439,-71.07657015323639,Back Bay
Prudential Center - 101 Huntington Ave,18775,42.34652003998412,-71.08065776545118,Back Bay
Dartmouth St at Newbury St,18654,42.35096144421219,-71.07782810926437,Back Bay
Valenti Way at Haverhill St,18406,42.36473898691789,-71.05934903025626,West End
Aquarium T Stop - 200 Atlantic Ave,17954,42.35991176110118,-71.0514298081398,North End
175 N Harvard St,17950,42.363796,-71.129164,Allston
Tremont St at Hamilton Pl,17794,42.35668334969929,-71.06166645884514,Downtown Boston
Silber Way,17423,42.34949599514002,-71.10057592391968,Allston
Beacon St at Charles St,17281,42.356052,-71.069849,Beacon Hill
Roxbury Crossing T Stop - Columbus Ave at Tremont St,17228,42.331184,-71.095171,Mission Hill
Tremont St at West St,17157,42.354979,-71.063348,Beacon Hill
Warren St at Chelsea St,16403,42.371848,-71.060292,Charlestown
Charlestown Navy Yard,16191,42.374124549426526,-71.05481199938367,Charlestown
W Broadway at D St,15865,42.3391085,-71.0514432,South Boston
Watermark Seaport - Boston Wharf Rd at Seaport Blvd,15494,42.351586001198456,-71.04569256305693,South Boston
Harvard Stadium: N. Harvard St at Soldiers Field Rd,14930,42.368019,-71.1242,Allston
Tremont St at E Berkeley St,14900,42.345392,-71.069616,South End
Harrison Ave at Mullins Way,14852,42.34521562115022,-71.0638403149278,Chinatown
Soldiers Field Park - 111 Western Ave,14596,42.36426344063853,-71.1182756971175,Allston
HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,14326,42.3374174845973,-71.10286116600037,Fenway / Kenmore
Government Center - Cambridge St at Court St,14306,42.3598253979878,-71.05979576244862,
Columbus Ave at W. Canton St,14042,42.34474224772802,-71.07648162175792,South End
Commonwealth Ave At Babcock St,14038,42.35154734791375,-71.12126246094704,Allston
Mass Ave T Station,13581,42.34135615767354,-71.08336953450817,Fenway / Kenmore
St. Alphonsus St at Tremont St,13474,42.33329254719182,-71.10124647617339,Mission Hill
Arch St at Franklin St,13280,42.35533501941256,-71.0582291708306,Downtown Boston
Boston Medical Center - E Concord St at Harrison Ave,13233,42.33639915372498,-71.07306711393903,South End
Union Square - Brighton Ave at Cambridge St,13094,42.353334,-71.137313,Allston
Harvard Ave at Brainerd Rd,13082,42.34953016890375,-71.13022770741735,Allston
Tremont St at Northampton St,12622,42.33889559644165,-71.08149975611013,South End
Surface Rd at Summer St,12579,42.35294569782581,-71.05656400803126,Downtown Boston
Seaport Square - Seaport Blvd at Northern Ave,12454,42.35148193460858,-71.04436084628105,South Boston
Park Dr at Buswell St,12423,42.347241,-71.105301,Allston
Stuart St at Berkeley St,12372,42.34954403114251,-71.0724207387284,Back Bay
Chinatown Gate Plaza,12355,42.351356,-71.059367,Chinatown
Brigham Circle - Francis St at Huntington Ave,11976,42.33462893055976,-71.10407917767589,Fenway / Kenmore
Northeastern University - North Parking Lot,11861,42.341814,-71.090179,Fenway / Kenmore
Stuart St at Charles St,11789,42.351146,-71.066289,
Innovation Lab - 125 Western Ave at Batten Way,11536,42.36371276003581,-71.12459778785706,Allston
Clarendon St at Newbury St,11502,42.35159662465317,-71.0756166279316,Back Bay
Huntington Ave at Mass Art,11478,42.336585554561154,-71.0988699646623,Mission Hill
Blossom St at Charles St,11271,42.36435589027983,-71.0695936904267,West End
Commonwealth Ave at Griggs St,11205,42.34922469338298,-71.13275302578586,Allston
One Brigham Circle,11013,42.33392270136997,-71.10446508982932,Mission Hill
Massachusetts Ave at Columbus Ave,10998,42.33949453726166,-71.0802078062261,South End
Congress St at Northern Ave,10871,42.3481,-71.03764,South Boston
Congress St at Boston City Hall,10777,42.36041774637169,-71.05752243543975,
Park Plaza at Charles St S.,10776,42.35182806892068,-71.06781138111728,
South Boston Library - 646 E Broadway,10458,42.335741,-71.03877,South Boston
Washington St at Waltham St,10379,42.34157471873748,-71.06890439987183,South End
Boylston St at Fairfield St,10263,42.34908155168097,-71.08192384243011,Back Bay
South End Library - Tremont St at W Newton St,10193,42.341332,-71.076847,South End
W Broadway at Dorchester St,10149,42.33595897943309,-71.04622899561036,South Boston
Rowes Wharf at Atlantic Ave,9966,42.357143,-71.050699,North End
Colleges of the Fenway - Fenway at Avenue Louis Pasteur,9957,42.34011512249236,-71.10061883926392,Fenway / Kenmore
