route_id,stop_id,neighborhood
192,"[117, 178, 636, 1128, 1317, 1363, 1939, 10000, 10642, 31365, 31391, 36466, 51317, 65741, 71391, 91317]","['Downtown', 'Back Bay', 'Roslindale', 'Jamaica Plain', 'Mission Hill', 'Mission Hill', 'Jamaica Plain', 'Beacon Hill', 'Jamaica Plain', 'Jamaica Plain', 'Fenway', 'Hyde Park', 'Fenway', 'Mission Hill', 'Longwood', 'Fenway']"
193,"[117, 899, 912, 918, 926, 931, 954, 959, 966, 973, 979]","['Downtown', 'Fenway', 'Brighton', 'Brighton', 'Allston', 'Allston', 'Fenway', 'Allston', 'Brighton', 'Brighton', 'Brighton']"
194,"[2844, 2855, 2867, 8309, 12836, 29010, 29011]","['Charlestown', 'Charlestown', 'Charlestown', 'Downtown', 'Charlestown', 'Charlestown', 'Charlestown']"
201,"[323, 3067, 3075, 3078, 8341, 8809, 38813]","['Dorchester', 'Dorchester', 'Dorchester', 'Dorchester', 'Dorchester', 'Dorchester', 'Dorchester']"
202,"[323, 3087, 8326, 8341, 8687, 8814, 38813]","['Dorchester', 'Dorchester', 'Dorchester', 'Dorchester', 'Dorchester', 'Dorchester', 'Dorchester']"
21,"[334, 499, 507, 526, 533, 537, 543, 546, 875, 1128, 1317, 1939, 5232, 10642, 11131, 11780, 31365, 65741, 91391]","['Dorchester', 'Dorchester', 'Mattapan', 'Mattapan', 'Dorchester', 'Dorchester', 'Dorchester', 'Roxbury', 'Jamaica Plain', 'Jamaica Plain', 'Mission Hill', 'Jamaica Plain', 'Mattapan', 'Jamaica Plain', 'Jamaica Plain', 'Longwood', 'Jamaica Plain', 'Mission Hill', 'Longwood']"
210,"[323, 3067, 3075, 3087]","['Dorchester', 'Dorchester', 'Dorchester', 'Dorchester']"
215,"[323, 334]","['Dorchester', 'Dorchester']"
217,"[334, 533, 537, 571, 591]","['Dorchester', 'Dorchester', 'Dorchester', 'Mattapan', 'Dorchester']"
22,"[334, 371, 378, 383, 407, 412, 415, 419, 426, 899, 1188, 1222, 1258, 1563, 1741, 1784, 1799, 1804, 10413, 11148, 11531, 11780, 17391, 17411, 17861, 17862, 17863, 21148]","['Dorchester', 'Dorchester', 'Dorchester', 'Dorchester', 'Roxbury', 'Roxbury', 'Roxbury', 'Dorchester', 'Dorchester', 'Fenway', 'Roxbury', 'Roxbury', 'Roxbury', 'Fenway', 'Roxbury', 'Mission Hill', 'Fenway', 'Longwood', 'Roxbury', 'Roxbury', 'Jamaica Plain', 'Longwood', 'Roxbury', 'Roxbury', 'Fenway', 'Roxbury', 'Roxbury', 'Roxbury']"
23,"[334, 371, 386, 390, 396, 407, 412, 426, 463, 468, 473, 478, 1259, 11257, 13321, 17861, 17862, 21148, 40001, 64000]","['Dorchester', 'Dorchester', 'Roxbury', 'Roxbury', 'Roxbury', 'Roxbury', 'Roxbury', 'Dorchester', 'Dorchester', 'Dorchester', 'Dorchester', 'Dorchester', 'Roxbury', 'Roxbury', 'Roxbury', 'Fenway', 'Roxbury', 'Roxbury', 'Roxbury', 'Roxbury']"
24,"[185, 334, 533, 537, 571, 574, 588, 591, 779, 781, 787, 795, 797, 804, 810, 812, 818, 6366, 6368, 6390, 6411, 6419, 6433, 6459, 10820, 16434, 67120, 85568, 96459]","['Mattapan', 'Dorchester', 'Dorchester', 'Dorchester', 'Mattapan', 'Mattapan', 'Mattapan', 'Dorchester', 'West Roxbury', 'West Roxbury', 'Roslindale', 'Roslindale', 'Roslindale', 'West Roxbury', 'West Roxbury', 'West Roxbury', 'West Roxbury', 'Mattapan', 'Mattapan', 'Hyde Park', 'Hyde Park', 'Hyde Park', 'Roslindale', 'Roslindale', 'West Roxbury', 'Hyde Park', 'West Roxbury', 'West Roxbury', 'Roslindale']"
240,"[334, 533, 537, 571, 591]","['Dorchester', 'Dorchester', 'Dorchester', 'Mattapan', 'Dorchester']"
245,[185],['Mattapan']
26,"[334, 371, 426, 494, 499, 507, 511]","['Dorchester', 'Dorchester', 'Dorchester', 'Dorchester', 'Dorchester', 'Mattapan', 'Dorchester']"
28,"[383, 386, 390, 396, 407, 412, 415, 419, 1259, 1714, 1728, 1731, 1737, 1784, 11257, 11712, 11780, 17861, 17862, 18511, 21148, 40001, 64000]","['Dorchester', 'Roxbury', 'Roxbury', 'Roxbury', 'Roxbury', 'Roxbury', 'Roxbury', 'Dorchester', 'Roxbury', 'Mattapan', 'Mattapan', 'Dorchester', 'Dorchester', 'Mission Hill', 'Roxbury', 'Mattapan', 'Longwood', 'Fenway', 'Roxbury', 'Mattapan', 'Roxbury', 'Roxbury', 'Roxbury']"
29,"[383, 419, 1188, 1222, 1258, 1714, 1728, 1731, 1737, 1741, 10413, 11531, 11712, 11735, 17391, 17411, 17861, 17862, 18511]","['Dorchester', 'Dorchester', 'Roxbury', 'Roxbury', 'Roxbury', 'Mattapan', 'Mattapan', 'Dorchester', 'Dorchester', 'Roxbury', 'Roxbury', 'Jamaica Plain', 'Mattapan', 'Dorchester', 'Roxbury', 'Roxbury', 'Fenway', 'Roxbury', 'Mattapan']"
30,"[185, 636, 6022, 6433, 6459, 10642, 16434, 96459]","['Mattapan', 'Roslindale', 'Roslindale', 'Roslindale', 'Roslindale', 'Jamaica Plain', 'Hyde Park', 'Roslindale']"
31,"[543, 546, 875, 1714, 1728, 5232, 11712, 18511]","['Dorchester', 'Roxbury', 'Jamaica Plain', 'Mattapan', 'Mattapan', 'Mattapan', 'Mattapan', 'Mattapan']"
32,"[875, 1128, 1317, 1325, 1332, 1346, 1354, 1939, 2819, 2922, 6471, 6474, 6478, 6496, 6500, 6504, 6509, 10642, 11131, 11780, 17391, 31365, 36466, 42819, 42820, 65741, 91391]","['Jamaica Plain', 'Jamaica Plain', 'Mission Hill', 'Roxbury', 'Roxbury', 'Roxbury', 'Roxbury', 'Jamaica Plain', 'Hyde Park', 'Roxbury', 'Hyde Park', 'Hyde Park', 'Roslindale', 'Roslindale', 'Hyde Park', 'Hyde Park', 'Hyde Park', 'Jamaica Plain', 'Jamaica Plain', 'Longwood', 'Roxbury', 'Jamaica Plain', 'Hyde Park', 'Hyde Park', 'Hyde Park', 'Mission Hill', 'Longwood']"
33,"[185, 875, 6357, 6471, 6474, 6478, 6496, 6500, 6504, 6509, 6522, 8331, 8949]","['Mattapan', 'Jamaica Plain', 'Hyde Park', 'Hyde Park', 'Hyde Park', 'Roslindale', 'Roslindale', 'Hyde Park', 'Hyde Park', 'Hyde Park', 'West Roxbury', 'Hyde Park', 'Hyde Park']"
34,"[604, 609, 616, 621, 625, 628, 633, 636, 875, 1128, 1317, 1325, 1332, 1346, 1354, 1939, 2922, 6022, 10612, 10642, 11131, 11780, 17391, 31365, 65741, 91391]","['Roslindale', 'West Roxbury', 'West Roxbury', 'West Roxbury', 'Hyde Park', 'Hyde Park', 'Roslindale', 'Roslindale', 'Jamaica Plain', 'Jamaica Plain', 'Mission Hill', 'Roxbury', 'Roxbury', 'Roxbury', 'Roxbury', 'Jamaica Plain', 'Roxbury', 'Roslindale', 'West Roxbury', 'Jamaica Plain', 'Jamaica Plain', 'Longwood', 'Roxbury', 'Jamaica Plain', 'Mission Hill', 'Longwood']"
34E,"[604, 609, 616, 621, 625, 628, 633, 636, 6022, 10612, 10642]","['Roslindale', 'West Roxbury', 'West Roxbury', 'West Roxbury', 'Hyde Park', 'Hyde Park', 'Roslindale', 'Roslindale', 'Roslindale', 'West Roxbury', 'Jamaica Plain']"
35,"[602, 616, 636, 763, 780, 787, 804, 831, 1160, 1363, 1939, 2003, 5245, 5249, 5256, 10642, 11780, 31365, 65741, 91391]","['Roslindale', 'West Roxbury', 'Roslindale', 'West Roxbury', 'West Roxbury', 'Roslindale', 'West Roxbury', 'West Roxbury', 'Jamaica Plain', 'Mission Hill', 'Jamaica Plain', 'Jamaica Plain', 'Jamaica Plain', 'West Roxbury', 'West Roxbury', 'Jamaica Plain', 'Longwood', 'Jamaica Plain', 'Mission Hill', 'Longwood']"
354,[65],['Downtown']
