,Route,Neighborhoods
0,1,"['Roxbury', 'South End']"
1,10,"['South Boston', 'Roxbury', 'South Boston Waterfront', 'South End']"
2,104,['Charlestown']
3,105,['Charlestown']
4,109,['Charlestown']
5,11,"['South Boston', 'Chinatown', 'South End']"
6,112,['East Boston']
7,114,['East Boston']
8,116,['East Boston']
9,116117,['East Boston']
10,117,['East Boston']
11,120,['East Boston']
12,121,['East Boston']
13,14,"['Jamaica Plain', 'Roslindale', 'Mattapan', 'Roxbury', 'Mission Hill']"
14,15,"['Chinatown', 'West End', 'Mattapan', 'South Boston Waterfront', 'South End', 'Roxbury', 'Mission Hill']"
15,16,"['South Boston', 'South Boston Waterfront', 'Jamaica Plain']"
16,17,"['South Boston', 'South Boston Waterfront']"
17,171,"['Roxbury', 'South End', 'East Boston']"
18,18,['South Boston Waterfront']
19,19,"['Mission Hill', 'Roxbury', 'South End', 'Fenway']"
20,21,"['Roslindale', 'Mattapan', 'Jamaica Plain']"
21,22,"['Roxbury', 'Mission Hill', 'Fenway']"
22,23,"['Roxbury', 'Mission Hill']"
23,24,"['Hyde Park', 'Roslindale', 'Mattapan', 'West Roxbury']"
24,240,['Mattapan']
25,245,['Mattapan']
26,26,['Mattapan']
27,28,"['Roxbury', 'Mattapan', 'Mission Hill', 'Fenway']"
28,29,"['Roxbury', 'Mattapan', 'Mission Hill']"
29,30,"['Roslindale', 'Mattapan', 'Jamaica Plain']"
30,31,"['Roslindale', 'Mattapan', 'Jamaica Plain']"
31,32,"['Hyde Park', 'Roxbury', 'Jamaica Plain', 'Roslindale']"
32,3233,"['Hyde Park', 'Roslindale', 'Jamaica Plain']"
33,33,"['Hyde Park', 'Roslindale', 'Mattapan', 'Jamaica Plain']"
34,34,"['Roxbury', 'Jamaica Plain', 'West Roxbury', 'Roslindale']"
35,34E,"['Roslindale', 'Jamaica Plain', 'West Roxbury']"
36,35,"['Roslindale', 'Mission Hill', 'West Roxbury', 'Jamaica Plain']"
37,36,"['Roxbury', 'Jamaica Plain', 'West Roxbury', 'Roslindale']"
38,37,"['Roslindale', 'Jamaica Plain', 'West Roxbury']"
39,38,"['Roxbury', 'Jamaica Plain', 'West Roxbury', 'Roslindale']"
40,39,"['Jamaica Plain', 'Chinatown', 'West End', 'Roslindale', 'Hyde Park', 'Mission Hill']"
41,4,"['Chinatown', 'West End']"
42,40,"['Hyde Park', 'Roslindale', 'Jamaica Plain', 'West Roxbury']"
43,4050,"['Hyde Park', 'Roslindale', 'Jamaica Plain', 'West Roxbury']"
44,41,"['Jamaica Plain', 'South Boston Waterfront', 'South End', 'Roxbury', 'Mission Hill']"
45,42,"['Roxbury', 'Jamaica Plain']"
46,43,"['Mission Hill', 'Chinatown', 'South End']"
47,44,"['Roxbury', 'Mission Hill']"
48,45,"['Mission Hill', 'Roxbury', 'South End']"
49,450,['East Boston']
50,47,"['South Boston', 'Fenway', 'South End', 'Roxbury', 'Mission Hill']"
51,50,"['Hyde Park', 'Roslindale', 'Jamaica Plain']"
52,501,"['Chinatown', 'Brighton', 'Allston']"
53,504,['Chinatown']
54,505,['Chinatown']
55,51,"['Brighton', 'Jamaica Plain', 'West Roxbury', 'Roslindale', 'Allston']"
56,52,['West Roxbury']
57,55,['Fenway']
58,57,"['Brighton', 'Fenway', 'Chinatown', 'West End', 'Allston']"
59,60,"['Mission Hill', 'Fenway']"
60,64,"['Brighton', 'Allston']"
61,65,"['Mission Hill', 'Fenway', 'Brighton']"
62,66,"['Allston', 'Roxbury', 'Mission Hill', 'Brighton']"
63,7,"['South Boston', 'Chinatown']"
64,70,"['Brighton', 'Allston']"
65,708,"['Mission Hill', 'South End', 'Fenway']"
66,712,['East Boston']
67,713,['East Boston']
68,716,['Mattapan']
69,741,"['Chinatown', 'East Boston']"
70,742,['South Boston']
71,743,['Chinatown']
72,747,"['Mission Hill', 'Fenway']"
73,749,"['Roxbury', 'Chinatown', 'South End']"
74,751,"['Roxbury', 'Chinatown', 'South End']"
75,8,"['South Boston', 'Fenway', 'South Boston Waterfront', 'South End', 'Roxbury', 'Mission Hill']"
76,86,"['Charlestown', 'Brighton', 'Allston']"
77,8993,['Charlestown']
78,9,"['South Boston', 'Fenway', 'Chinatown', 'South End', 'Roxbury', 'Mission Hill']"
79,91,['Charlestown']
80,92,['Charlestown']
81,93,['Charlestown']
