stop_id,route_id
2,['01']
5,['191' 'SL4' 'SL5']
7,['19' 'CT3']
8,['10']
13,['10' '16' '17' '171' '09' '18' 'CT3']
20,['10' '16']
21,['09']
25,['09' '10' '16']
33,['09' '10' '11' '07' '16']
41,['09' '10']
45,['09' '10']
55,['SL4' 'SL5' '191']
59,['01']
62,['01']
64,['01' '08' '171' '47' 'SL4' 'SL5' '19']
65,['354']
67,['01']
72,['01' '47' '70']
75,['01']
79,['01']
93,['01']
97,['01']
102,['01']
108,['01']
110,['01' '69' '68']
111,['08' '16']
113,['04']
114,['04']
117,['191' '93' '04' '192' '193' '426' '428' '450' '92']
120,['36']
121,['08' '41' '16']
122,['41']
123,['08' '41']
128,['CT3']
134,['08']
136,['41']
141,['350' '62' '67' '76']
142,['08' '16']
148,['09']
150,['09' '11' '47']
151,['09' '11']
175,['09' '10' '39']
176,['10']
178,['10' '55' '192' '501' '504']
180,['18']
185,['191' '24' '30' '245' '33']
187,['01']
188,['01']
190,['04']
214,['04']
224,['04']
236,['04']
242,['04']
258,['11']
268,['11']
275,['11']
286,['11']
322,['15' '18' '19']
323,['15' '17' '201' '210' '215' '18' '19' '202']
325,['191']
334,['15' '191' '21' '215' '22' '23' '24' '240' '26' '45' '18' '217']
362,['17']
371,['22' '23' '26' '45']
378,['22' '45']
383,['22' '28' '14' '29' '45']
386,['23' '28' '14' '19']
390,['23' '28' '14' '19' '66']
395,['10' '19' '66']
396,['23' '28' '44' '19']
407,['23' '28' '10' '14' '19' '22' '66']
412,['23' '28' '10' '14' '19' '22' '66']
415,['28' '45' '14' '22']
419,['22' '28' '45' '29']
426,['22' '23' '26' '45']
463,['23']
468,['23']
473,['23']
478,['23']
494,['26']
499,['21' '26']
507,['21' '26']
511,['26']
526,['21']
533,['191' '21' '24' '240' '217']
536,['191']
537,['21' '24' '240' '191' '217']
543,['21' '31']
546,['21' '31']
549,['19']
552,['19']
562,['19']
565,['19']
571,['24' '240' '191' '217']
574,['24' '191']
588,['191' '24']
591,['191' '24' '240' '217']
602,['35' '36' '37' '51']
604,['34' '34E' '40']
609,['34' '34E' '40']
616,['34' '34E' '35']
621,['34' '34E']
625,['34' '34E' '40']
628,['34' '34E' '40']
633,['34' '34E' '40']
636,['30' '34' '34E' '35' '36' '40' '192' '37' '50' '51']
730,['64' '70']
763,['35']
774,['36' '52']
779,['36' '24']
780,['35']
781,['36' '24' '37']
787,['35' '36' '24' '37']
795,['24']
797,['14' '24']
804,['35' '36' '24' '37' '38']
810,['36' '24' '37']
811,['35']
812,['36' '24']
818,['24' '36' '52']
820,['36' '52']
831,['35']
853,['37']
875,['16' '21' '31' '32' '42' '33' '34' '36']
879,['07']
886,['07' '09']
889,['07']
890,['07']
892,['743' 'SL1' '04' '07']
899,['08' '57' '60' '09' '19' '193' '22' '65']
900,['57' '193' '504' '52' '66']
903,['57' '193' '501' '504' '52' '553' '554' '556' '558']
904,['501']
912,['57' '193' '66']
913,['57']
918,['57' '193' '66']
922,['66' '57']
925,['57' '66']
926,['57' '66' '193' '51']
931,['57' '193']
937,['57' '193']
954,['57' '193']
959,['57' '193']
