stop_id,latitude,longitude,zip_code
3852,42.233513,-71.006101,02169
3855,42.228247,-71.004983,02184
3887,42.174913,-71.012872,02184
3911,42.175491,-71.013131,02184
3943,42.228082,-71.004818,02184
3946,42.233339,-71.005958,02169
3959,42.241031,-71.003354,02169
3966,42.154859,-71.008631,02343
3986,42.12247,-71.014033,02343
3990,42.122253,-71.014077,02343
4010,42.154693,-71.008474,02343
4017,42.212758,-71.020193,02184
4019,42.220488,-71.023648,02184
4020,42.217291,-71.022573,02184
4024,42.212075,-71.019834,02184
4042,42.188177,-71.029915,02368
4058,42.163067,-71.041089,02368
4076,42.188018,-71.029746,02368
4093,42.235738,-71.028307,02169
4134,42.270098,-71.073275,02186
4144,42.257995,-71.081128,02186
4147,42.252277,-71.075258,02186
4153,42.24841,-71.069317,02186
4165,42.201227,-71.06285,02368
4177,42.18317,-71.053734,02368
4191,42.163883,-71.042345,02368
4194,42.248421,-71.069112,02186
4198,42.250861,-71.07344,02186
4232,42.131584,-71.040198,02322
4233,42.132787,-71.039789,02322
4250,42.161223,-71.041914,02368
4255,42.156299,-71.027714,02368
4258,42.161855,-71.040036,02368
4277,42.163371,-71.04184,02368
4290,42.183273,-71.053376,02368
4344,42.248574,-71.069046,02186
4364,42.248469,-71.069021,02186
4404,42.258447,-71.081447,02186
4451,42.462708,-70.964894,01905
4472,42.489357,-70.936838,01904
4475,42.485055,-70.94145,01904
4482,42.477267,-70.948921,01904
4492,42.45538,-70.974007,01905
4498,42.420606,-71.003376,02151
4515,42.42095,-71.00354,02151
4520,42.45513,-70.974024,01905
4525,42.462473,-70.964746,01905
4526,42.409969,-71.001815,02151
4538,42.485236,-70.941027,01902
4541,42.489069,-70.93701,01902
4553,42.512001,-70.908476,01970
4576,42.521992,-70.961154,01960
4588,42.522139,-70.960967,01960
4709,42.440343,-70.967824,02151
4717,42.409734,-70.999563,02151
4733,42.409697,-71.000379,02151
4755,42.467489,-70.924489,01902
