stop_id,neighborhood
2,Roxbury
5,South End
7,Roxbury
8,Roxbury
13,South Boston
20,South Boston
21,South Boston
25,South Boston
33,South Boston Waterfront
41,South Boston
45,South Boston
55,Roxbury
59,South End
62,Roxbury
64,Roxbury
65,Downtown
67,
72,
75,
79,Fenway
93,Back Bay
97,
102,
108,
110,
111,Dorchester
113,West End
114,West End
117,Downtown
120,West Roxbury
121,Dorchester
122,Dorchester
123,Dorchester
128,Roxbury
134,Dorchester
136,Dorchester
141,
142,Dorchester
148,South End
150,South Boston
151,South Boston
175,Back Bay
176,Back Bay
178,Back Bay
180,Dorchester
185,Mattapan
187,Fenway
188,Roxbury
190,Downtown
214,South Boston Waterfront
224,Downtown
236,Downtown
258,South Boston
268,South Boston
275,South Boston
286,South Boston
322,Dorchester
323,Dorchester
325,Dorchester
334,Dorchester
362,Dorchester
371,Dorchester
378,Dorchester
383,Dorchester
386,Roxbury
390,Roxbury
395,Roxbury
396,Roxbury
407,Roxbury
412,Roxbury
415,Roxbury
419,Dorchester
426,Dorchester
463,Dorchester
468,Dorchester
473,Dorchester
478,Dorchester
494,Dorchester
499,Dorchester
507,Mattapan
511,Dorchester
526,Mattapan
533,Dorchester
536,Dorchester
537,Dorchester
543,Dorchester
546,Roxbury
552,Dorchester
562,Dorchester
565,Dorchester
571,Mattapan
574,Mattapan
588,Mattapan
591,Dorchester
602,Roslindale
604,Roslindale
609,West Roxbury
616,West Roxbury
621,West Roxbury
625,Hyde Park
628,Hyde Park
633,Roslindale
636,Roslindale
730,
763,West Roxbury
774,West Roxbury
779,West Roxbury
780,West Roxbury
781,West Roxbury
787,Roslindale
795,Roslindale
797,Roslindale
804,West Roxbury
810,West Roxbury
812,West Roxbury
818,West Roxbury
820,West Roxbury
831,West Roxbury
853,West Roxbury
875,Jamaica Plain
879,South Boston
886,South Boston
889,South Boston Waterfront
890,South Boston Waterfront
892,Downtown
899,Fenway
900,
903,
904,
912,Brighton
913,Brighton
918,Brighton
922,Allston
925,Allston
926,Allston
931,Allston
937,
954,Fenway
959,Allston
964,Allston
966,Brighton
973,Brighton
979,Brighton
987,
994,Brighton
1026,Brighton
1043,Brighton
1051,Allston
1059,
1060,
1070,Allston
1077,Brighton
1084,Brighton
1110,Brighton
1111,Allston
1116,Allston
1123,
1128,Jamaica Plain
1160,Jamaica Plain
1165,Roxbury
1187,Jamaica Plain
1188,Roxbury
1190,Allston
1195,Allston
1214,Brighton
1222,Roxbury
1235,South End
1241,Downtown
1258,Roxbury
