neighborhood,stop_id,route_id
Allston,"[922, 922, 925, 925, 926, 926, 926, 926, 931, 931, 959, 959, 964, 1051, 1070, 1111, 1116, 1190, 1195, 1302, 1378, 2553, 2553, 2561, 2561]","['66', '57', '57', '66', '57', '66', '193', '51', '57', '193', '57', '193', '51', '70', '70', '66', '64', '64', '64', '66', '66', '66', '86', '66', '86']"
Back Bay,"[93, 175, 175, 175, 176, 178, 178, 178, 178, 178, 11388, 11388, 11389, 11391]","['01', '09', '10', '39', '10', '10', '55', '192', '501', '504', '39', '09', '39', '55']"
Beacon Hill,"[10000, 10000]","['43', '192']"
Brighton,"[912, 912, 912, 913, 918, 918, 918, 966, 966, 966, 966, 973, 973, 973, 979, 979, 994, 994, 1026, 1026, 1026, 1043, 1043, 1077, 1077, 1084, 1084, 1110, 1214, 1994, 1994, 9780, 9780]","['57', '193', '66', '57', '57', '193', '66', '57', '193', '51', '66', '57', '193', '66', '57', '193', '501', '66', '86', '51', '65', '70', '86', '70', '86', '86', '51', '64', '64', '501', '65', '57', '66']"
Charlestown,"[2821, 2835, 2844, 2844, 2850, 2855, 2855, 2867, 2867, 12829, 12836, 12836, 28281, 29001, 29001, 29001, 29001, 29001, 29001, 29001, 29001, 29001, 29001, 29001, 29001, 29002, 29003, 29004, 29005, 29006, 29007, 29008, 29009, 29010, 29010, 29011, 29011, 29012, 32840]","['92', '92', '194', '93', '93', '194', '93', '194', '93', '93', '194', '93', '92', '101', '104', '105', '109', '86', '89', '90', '91', '93', '95', '92', 'CT2', '105', '95', 'CT2', '86', '91', '104', '109', '92', '194', '93', '194', '89', '101', '92']"
Chinatown,"[6565, 6565, 6565]","['11', 'SL4', 'SL5']"
Dorchester,"[111, 111, 121, 121, 121, 122, 123, 123, 134, 136, 142, 142, 180, 322, 322, 322, 323, 323, 323, 323, 323, 323, 323, 323, 325, 334, 334, 334, 334, 334, 334, 334, 334, 334, 334, 334, 334, 362, 371, 371, 371, 371, 378, 378, 383, 383, 383, 383, 383, 419, 419, 419, 419, 426, 426, 426, 426, 463, 468, 473, 478, 494, 499, 499, 511, 533, 533, 533, 533, 533, 536, 537, 537, 537, 537, 537, 543, 543, 552, 562, 565, 591, 591, 591, 591, 1468, 1475, 1475, 1480, 1480, 1480, 1480, 1508, 1508, 1515, 1566, 1569, 1731, 1731, 1737, 1737, 2910, 2910, 2910, 2913, 2919, 2925, 2931, 2933, 2935, 2935, 3067, 3067, 3075, 3075, 3078, 3078, 3087, 3087, 8326, 8341, 8341, 8687, 8687, 8809, 8814, 11241, 11241, 11241, 11735, 15100, 29051, 29051, 29051, 38813, 38813]","['08', '16', '08', '41', '16', '41', '08', '41', '08', '41', '08', '16', '18', '15', '18', '19', '15', '17', '201', '210', '215', '18', '19', '202', '191', '15', '191', '21', '215', '22', '23', '24', '240', '26', '45', '18', '217', '17', '22', '23', '26', '45', '22', '45', '22', '28', '14', '29', '45', '22', '28', '45', '29', '22', '23', '26', '45', '23', '23', '23', '23', '26', '21', '26', '26', '191', '21', '24', '240', '217', '191', '21', '24', '240', '191', '217', '21', '31', '19', '19', '19', '191', '24', '240', '217', '15', '15', '17', '15', '16', '17', '191', '15', '17', '15', '45', '45', '28', '29', '28', '29', '16', '17', '41', '16', '16', '16', '16', '41', '17', '41', '201', '210', '201', '210', '201', '19', '202', '210', '202', '201', '202', '19', '202', '201', '202', '08', '10', '16', '29', '15', '08', '10', '16', '201', '202']"
Downtown,"[65, 117, 117, 117, 117, 117, 117, 117, 117, 117, 190, 224, 236, 892, 892, 892, 892, 1241, 6538, 6548, 6548, 6550, 6550, 6550, 6551, 6551, 6551, 6555, 6555, 6555, 6564, 6564, 6564, 8281, 8309, 8309, 8309, 11891, 16535, 16535, 16538, 16538, 49001, 49002, 49002, 65471, 74611, 74611, 74611, 74611, 74617, 74617, 74617, 74617]","['354', '191', '93', '04', '192', '193', '426', '428', '450', '92', '04', '04', '04', '743', 'SL1', '04', '07', '43', 'SL4', '93', '92', '501', '504', '505', '501', '504', '505', '501', '504', '505', '11', '04', '07', '43', '111', '117', '194', '04', '07', '505', '11', '07', 'SL5', 'SL4', 'SL5', '04', '743', '746', 'SL1', 'SL2', '743', '746', 'SL1', 'SL2']"
East Boston,"[5450, 5666, 5666, 5666, 5736, 5736, 5736, 5736, 5740, 5740, 5740, 5740, 5740, 5743, 5743, 5743, 5743, 5854, 5862, 5867, 5879, 5880, 5907, 7094, 7096, 7096, 7097, 17091, 17093, 17094, 17094, 17095, 17095, 27092, 27092, 57400]","['121', '112', '120', '121', '116', '117', '114', '121', '116', '117', '120', '114', '121', '116', '117', '114', '121', '120', '120', '120', '120', '120', '121', '117', '171', '743', '743', 'SL1', 'SL1', '171', 'SL1', '171', 'SL1', '171', 'SL1', '120']"
Fenway,"[79, 187, 899, 899, 899, 899, 899, 899, 899, 899, 954, 954, 1518, 1518, 1518, 1518, 1520, 1563, 1563, 1563, 1563, 1775, 1799, 1799, 1799, 1799, 1807, 1807, 1808, 1809, 1809, 1926, 9434, 9441, 17861, 17861, 17861, 17861, 17861, 17861, 17861, 17861, 17861, 17861, 17861, 17861, 31391, 41391, 41391, 51317, 81317, 91317]","['01', '01', '08', '57', '60', '09', '19', '193', '22', '65', '57', '193', '08', '60', '57', '65', '19', '08', '60', '22', '65', 'CT2', '08', '19', '22', 'CT3', '57', 'CT2', 'CT2', '47', 'CT2', '55', 'CT2', '19', '08', '15', '22', '23', '28', '44', '45', '47', '09', '29', '57', 'CT2', '192', '39', '09', '192', '39', '192']"
