checkpoint_id,checkpoint_name
1010m,1010 Massachusetts Avenue @ Magazine Street
400cp,400 West Cummings Park
abase,Air Base
abmta,Aberdeen & Mount Auburn
acorn,Acorn Park Drive @ Route 2
adgal,Adams & Gallivan Boulevard
admhl,Admiral's Hill @ Commandants Way
adrob,Adams & Robertson Streets
airbs,Airport Station Busway
alban,Albany Garage
alewf,Alewife Station
aleyn,Adams @ Alleyne
alfcl,Alewife
almnt,Arlmont Village
alrmp,Allston Trpk Ramps
alsgr,Allston Street
alwpk,Alewife Brook Parkway
amall,Assembly Mall & Row
amory,Amory Street
andrw,Andrew
aport,Airport
appma,Appleton Street & Massachusetts Avenue
aqucl,Aquarium
arlct,Arlington Center
arlht,Arlington Heights
arlwi,Arlington/Winchester Line
armnl,Arlington
ashmt,Ashmont Terminal
asmnl,Ashmont
astao,Assembly
atlst,Atlantic & State Streets
aubnd,Auburndale
avnsq,Avon Square
babck,Babcock Street
baker,Baker & Vermont Streets
bally,Harvard Bus Tunnels
balsq,Ball Square
baspt,Bass Point (Nahant)
bauck,Bay Street @ Auckland Street
bbsta,Back Bay
bcec,Boston Convention Center
bchmt,Beachmont
bchmw,Beachmont West
bckhl,Back of the Hill
bcnfd,Beaconsfield
bcnwa,Washington Square
bdfch,Bedford & Chauncy Streets
bdfrd,Bedford Center
bdfwd,Bedford Woods
bdoin,Bowdoin Street
belco,Belgrade & Corinth Streets (Roslindale Square)
bell,Bell Circle
belsq,Bellingham Square (Chelsea)
bethi,Beth Israel Hospital @ Fenway
bevsq,Beverly Square
bhdud,Blue Hill Avenue @ Dudley Street
bhqui,Blue Hill Avenue @ Quincy Street
bilng,Billing's Road @ Beach Street
bknsq,Bicknell Square
bland,Blandford Street
blcon,Blanchard & Concord
blsqs,Bellingham Square
bltal,Blue Hill Avenue @ Talbot Avenue
bmall,Burlington Mall
bmmnl,Beachmont
bndhl,Brandon Hall
bntns,Benton Square
bocnh,Boylston @ Chestnut Hill Avenue
boham,Boylston @ Hammond
bomnl,Bowdoin
boshi,Boston Street @ High Street
botul,Boylston @ Tully
bowin,Boston Street @ Winthrop Street
boxds,Box District
boyls,Boylston
brcom,Brighton & Commonwealth Avenue
brcon,Broadway @ Conomo Avenue (Pickering Middle School)
brctr,Brighton Center
brdwy,Broadway
brfli,Broadway @ Felton Street
brghm,Brigham Circle (Bus)
brhlb,Brockton/Holbrook Line
brico,Packard's Corner
brkcn,Brook Road @ Central Avenue
brkhl,Brookline Hills
brkpk,Brookline Avenue @ Park Drive
brkvl,Brookline Village
brlng,Brookline & Longwood Avenues
brmdl,Broad Street @ Middle Street
brmnl,Brigham Circle
brnst,Braintree Station
brntn,Braintree
brown,Brown Circle
brway,Broadway Station
brwcr,Broadway @ Cross Street
brypl,Broadway Plaza @ Broadway
bryup,Bryant Avenue & Upton Street (West Quincy)
bubrg,Commonwealth Avenue @ BU Bridge
bucen,Boston University Central
buchb,Buchanan Circle (East Lynn)
buest,Boston University East
bumed,BU Medical Campus
bunco,Bunker Hill & Concord Street
burlc,Burlington Center
butlr,Butler
bvmnl,Brookline Village
bwcen,Broadway & Central (Revere)
bwsvl,Bow Street (Somerville)
bwybc,Broadway & Beacon
bwypk,Broadway & Park (Revere)
bwysq,Broadway Square @ Salem Street
cabgr,C @ Cabot Garage
cacom,Causeway Street & Commercial Street
camar,Cambridge Street @ Arlington Road
camwd,Cambridge Street @ Windsor Street
cancr,Canton Center
capst,Capen Street
ccmnl,Community College
cdrwd,Cedarwood
cedgr,Cedar Grove
cenav,Central Avenue
cenpk,Centennial Park (Peabody)
censq,"Central Square, Lynn (Busway)"
chest,Chestnut Street & Western Avenue (Lynn)
chhil,Chestnut Hill
child,Boston Children's Hospital on Longwood Avenue
chill,Chestnut Hill Avenue
chlst,Chelsea
chmnl,Charles/MGH
chncl,Chinatown
chnut,Chestnut Avenue (Burlington)
chswk,Chiswick Road
clarh,Clarendon Hill
clift,Cliftondale Square (Saugus)
clmnl,Cleveland Circle
clmof,Calvin Road @ Moffat Road (Broad Meadows Middle School)
cloop,Charles River Loop
clsq,Cleary Square
cmaml,Cummins Highway @ American Legion Highway
cmbfl,Cambridge Street @ Felton Street (Cambridge Rindge & Latin School)
cmbwr,Cambridge Street @ Warren Street (Brighton High School)
cmhwy,Cummins Highway
cnhlm,Chestnut Hill Mall
cntle,Central Square (East Boston)
cntrl,Central Avenue Station
cntsq,Central Square (Cambridge)
cobcr,Cobbs Corner (Canton)
codmn,Codman Square
codwd,Coddington Street @ Woodward Avenue (Quincy High School)
coecl,Copley
coldt,Columbia Road @ Dorchester Avenue
colsq,Columbian Square
compk,Common Park
compm,Commonwealth Avenue @ Pamela Court
conbr,Concord Avenue @ Bright Road
conle,Belmont Center Station
conrd,Silver Line Way
const,Congress Street @ State Street
cool,Coolidge Corner
coold,Adams & Cooledge
copsq,Copley Square @ Stuart Street
copst,Copley (Bus)
coqui,Columbia Road @ Quincy Street
cowas,Columbia Road @ Washington Street
crclg,Curry College (Milton)
crtst,Courthouse
crwsq,Crawford Square (Randolph)
ctrwe,Centre Street @ Weld Street
ctypt,City Point
ctysq,City Square
cumpk,Cummings Center
cypbo,Cypress @ Boylston
davis,Davis
dayo,Day Boulevard & O Street
dedsq,Dedham Square
denrd,Dean Road
dhgrt,Dedham Parkway @ Georgetowne Drive
dline,Dedham Line (Washington Street)
dmall,Dedham Mall
dodge,Dodge Street @ Cabot Street
dotav,Dorchester Avenue & Park Street
dotga,Dorchester Avenue @ Gallivan Boulevard
dotst,Dorchester Street & 8th Street
drdck,Drydock Avenue @ Design Center Place
dvsta,Devonshire Street @ State Street
dwnxg,Downtown Crossing
eagle,Eagle Square (East Boston)
edevt,Edward Everett Square Columbia @ Massachusetts Avenue
egles,Egleston Square
eliot,Eliot
ellch,Elliot Street @ Charles
elm,Elm & Fells
emdsr,EMD Serono Research Center
emlsq,East Milton Square
engav,Englewood Avenue
esaug,East Saugus
esavs,Eastern Avenue
esomr,East Somerville
esqnb,East Squantum Street @ Newbury Avenue (North Quincy High School)
essex,Essex Street @ Eastern Avenue
