trip_id,pattern,shape_id
57817312,0,903_0021
57817313,0,903_0021
57817314,0,903_0021
57817315,0,903_0021
57817316,0,903_0021
57817317,0,903_0021
57817318,0,903_0021
57817319,0,903_0021
57817320,0,903_0021
57817321,0,903_0021
57817322,0,903_0021
57817323,0,903_0021
57817324,0,903_0021
57817325,0,903_0021
57817326,0,903_0021
57817327,0,903_0021
57817328,0,903_0021
57817329,0,903_0021
57817330,0,903_0021
57817331,0,903_0021
57817332,0,903_0021
57817333,0,903_0021
57817334,0,903_0021
57817335,0,903_0021
57817336,0,903_0021
57817337,0,903_0021
57817338,0,903_0021
57817339,0,903_0021
57817340,0,903_0021
57817341,0,903_0021
57817342,0,903_0021
57817343,0,903_0021
57817344,0,903_0021
57817345,0,903_0021
57817346,0,903_0021
57817347,0,903_0021
57817348,0,903_0021
57817349,0,903_0021
57817350,0,903_0021
57817351,0,903_0021
57817352,0,903_0021
57817353,0,903_0021
57817354,0,903_0021
57817355,0,903_0021
57817356,0,903_0021
57817357,0,903_0021
57817358,0,903_0021
57817359,0,903_0021
57817360,0,903_0021
57817361,0,903_0021
57817362,0,903_0021
57817363,0,903_0021
57817364,0,903_0021
57817365,0,903_0021
57817366,0,903_0021
57817367,0,903_0021
57817368,0,903_0021
57817369,0,903_0021
57817370,0,903_0021
57817371,0,903_0021
57817372,0,903_0021
57817373,0,903_0021
57817374,0,903_0021
57817375,0,903_0021
57817376,0,903_0021
57817377,0,903_0021
57817378,0,903_0021
57817379,0,903_0021
57817380,0,903_0021
57817381,0,903_0021
57817382,0,903_0021
57817383,0,903_0021
57817384,0,903_0021
57817385,0,903_0021
57817386,0,903_0021
57817387,0,903_0021
57817388,0,903_0021
57817389,0,903_0021
57817390,0,903_0021
57817391,0,903_0021
57817392,0,903_0021
57817393,0,903_0021
57817394,0,903_0021
57817395,0,903_0021
57817396,0,903_0021
57817397,0,903_0021
57817398,0,903_0021
57817399,0,903_0021
57817400,0,903_0021
57817401,0,903_0021
57817402,0,903_0021
57817403,0,903_0021
57817404,0,903_0021
57817405,0,903_0021
57817406,0,903_0021
57817407,0,903_0021
57817408,0,903_0021
57817409,0,903_0021
57817410,0,903_0021
57817411,0,903_0021
57817412,0,903_0021
57817413,0,903_0021
57817414,0,903_0021
57817415,0,903_0021
57817416,0,903_0021
57817417,0,903_0021
57817418,0,903_0021
57817419,0,903_0021
57817420,0,903_0021
57817421,0,903_0021
57817528,0,903_0023
58379047,0,903_0021
58379048,0,903_0021
58379049,0,903_0021
58379050,0,903_0021
58379051,0,903_0021
58379052,0,903_0021
58379053,0,903_0021
58379054,0,903_0021
58379055,0,903_0021
58379056,0,903_0021
58379057,0,903_0021
58379058,0,903_0021
58379059,0,903_0021
58379060,0,903_0021
58379061,0,903_0021
58379062,0,903_0021
58379063,0,903_0021
58379064,0,903_0021
58379065,0,903_0021
58379066,0,903_0021
58379067,0,903_0021
58379068,0,903_0021
58379069,0,903_0021
58379070,0,903_0021
58379071,0,903_0021
58379072,0,903_0021
58379073,0,903_0021
58379074,0,903_0021
58379075,0,903_0021
58379076,0,903_0021
58379077,0,903_0021
58379078,0,903_0021
58379079,0,903_0021
58379080,0,903_0021
58379081,0,903_0021
58379082,0,903_0021
58379083,0,903_0021
58379084,0,903_0021
58379085,0,903_0021
58379086,0,903_0021
58379087,0,903_0021
58379088,0,903_0021
58379089,0,903_0021
58379090,0,903_0021
58379091,0,903_0021
58379092,0,903_0021
58379093,0,903_0021
58379094,0,903_0021
58379095,0,903_0021
58379096,0,903_0021
58379097,0,903_0021
58379098,0,903_0021
58379099,0,903_0021
58379100,0,903_0021
58379101,0,903_0021
58379102,0,903_0021
58379103,0,903_0021
58379104,0,903_0021
58379105,0,903_0021
58379106,0,903_0021
58379107,0,903_0021
58379108,0,903_0021
58379109,0,903_0021
58379110,0,903_0021
58379111,0,903_0021
58379112,0,903_0021
58379113,0,903_0021
58379114,0,903_0021
58379115,0,903_0021
58379116,0,903_0021
58379117,0,903_0021
58379118,0,903_0021
58379119,0,903_0021
58379120,0,903_0021
58379121,0,903_0021
58379122,0,903_0021
58379123,0,903_0021
58379124,0,903_0021
58379125,0,903_0021
58379126,0,903_0021
58379127,0,903_0021
58379128,0,903_0023
58379129,0,903_0021
58379130,0,903_0021
58379131,0,903_0021
58379132,0,903_0021
58379248,0,903_0021
58379249,0,903_0021
58379250,0,903_0021
58379251,0,903_0021
58379252,0,903_0021
58379253,0,903_0021
58379254,0,903_0021
58379255,0,903_0021
