row_id,route_id,route_short_name,route_long_name,route_desc
0,Red,,Red Line,Rapid Transit
1,Mattapan,,Mattapan Trolley,Rapid Transit
2,Orange,,Orange Line,Rapid Transit
3,Green-B,B,Green Line B,Rapid Transit
4,Green-C,C,Green Line C,Rapid Transit
5,Green-D,D,Green Line D,Rapid Transit
6,Green-E,E,Green Line E,Rapid Transit
7,Blue,,Blue Line,Rapid Transit
8,741,SL1,Logan Airport Terminals - South Station,Key Bus
9,742,SL2,Drydock Avenue - South Station,Key Bus
10,743,SL3,Chelsea Station - South Station,Key Bus
11,751,SL4,Nubian Station - South Station,Key Bus
12,749,SL5,Nubian Station - Temple Place,Key Bus
13,746,SLW,Silver Line Way - South Station,Key Bus
14,CR-Fairmount,,Fairmount Line,Commuter Rail
15,CR-Fitchburg,,Fitchburg Line,Commuter Rail
16,CR-Worcester,,Framingham/Worcester Line,Commuter Rail
17,CR-Franklin,,Franklin/Foxboro Line,Commuter Rail
18,CR-Greenbush,,Greenbush Line,Commuter Rail
19,CR-Haverhill,,Haverhill Line,Commuter Rail
20,CR-Kingston,,Kingston Line,Commuter Rail
21,CR-Lowell,,Lowell Line,Commuter Rail
22,CR-Middleborough,,Middleborough/Lakeville Line,Commuter Rail
23,CR-Needham,,Needham Line,Commuter Rail
24,CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail
25,CR-Providence,,Providence/Stoughton Line,Commuter Rail
26,CR-Foxboro,,Foxboro Event Service,Commuter Rail
27,CapeFlyer,,CapeFLYER,Commuter Rail
28,Boat-F4,,Charlestown Ferry,Ferry
29,Boat-F1,,Hingham/Hull Ferry,Ferry
30,Boat-EastBoston,,East Boston Ferry,Ferry
31,Boat-Lynn,,Lynn Ferry,Ferry
32,Boat-F6,,Winthrop Ferry,Ferry
33,747,CT2,Sullivan Square Station - Ruggles Station,Local Bus
34,708,CT3,Beth Israel Deaconess Hospital - Andrew Station,Local Bus
35,1,1,Harvard Square - Nubian Station,Key Bus
36,4,4,North Station - Tide Street,Commuter Bus
37,7,7,City Point - Otis Street & Summer Street,Local Bus
38,8,8,Harbor Point - Kenmore Station,Local Bus
39,9,9,City Point - Copley Square,Local Bus
40,10,10,City Point - Copley Square,Local Bus
41,11,11,City Point - Chauncy Street & Summer Street,Local Bus
42,14,14,Roslindale Square - Heath Street,Local Bus
43,15,15,Fields Corner Station or Kane Square - Ruggles Station,Key Bus
44,16,16,Forest Hills Station - Andrew Station or Harbor Point,Local Bus
45,17,17,Fields Corner Station - Andrew Station,Local Bus
46,18,18,Ashmont Station - Andrew Station,Local Bus
47,19,19,Fields Corner Station - Kenmore or Ruggles Station,Local Bus
48,21,21,Ashmont Station - Forest Hills Station,Local Bus
49,22,22,Ashmont Station - Ruggles Station via Talbot Ave,Key Bus
50,23,23,Ashmont Station - Ruggles Station via Washington Street,Key Bus
51,24,24,Wakefield Avenue & Truman Parkway - Ashmont Station,Local Bus
52,26,26,Ashmont Station - Norfolk Street Loop,Local Bus
53,28,28,Mattapan Station - Ruggles Station,Key Bus
54,29,29,Mattapan Station - Jackson Square Station,Local Bus
55,30,30,Mattapan Station - Forest Hills Station via Cummins Highway and Roslindale Square,Local Bus
56,31,31,Mattapan Station - Forest Hills Station via Morton Street,Local Bus
57,32,32,Wolcott or Cleary Square - Forest Hills Station,Key Bus
58,3233,32/33,River Street & Milton Street - Mattapan Station,Supplemental Bus
59,33,33,River Street & Milton Street - Mattapan Station,Local Bus
60,34,34,Dedham Square - Forest Hills Station,Local Bus
61,34E,34E,Walpole Center - Forest Hills Station,Local Bus
62,35,35,Dedham Mall or Stimson Street - Forest Hills Station,Local Bus
63,36,36,Millennium Park or VA Hospital - Forest Hills Station,Local Bus
64,37,37,Baker Street & Vermont Street - Forest Hills Station,Local Bus
65,38,38,Wren Street - Forest Hills Station,Local Bus
