row_id,stop_id,stop_name,stop_lat,stop_lon
0,1,Washington St opp Ruggles St,42.330957,-71.082754
1,10,Theo Glynn Way @ Newmarket Sq,42.330555,-71.068787
2,10000,Tremont St opp Temple Pl,42.355692,-71.062911
3,10003,Albany St opp Randall St,42.331591,-71.076237
4,10005,Albany St opp E Concord St,42.335017,-71.07128
5,10006,Albany St opp E Newton St,42.335814,-71.070135
6,10007,540 Albany St opp Wareham St,42.338372,-71.066556
7,10008,Albany St opp Randolph St,42.339915,-71.064356
8,10009,High St @ Duck Lane,42.214986,-70.915924
9,10010,Southampton St @ Newmarket St,42.330944,-71.064621
10,10011,Albany St @ Randolph St,42.340162,-71.064227
11,10012,Albany St @ Wareham St,42.338361,-71.066667
12,10013,Albany St @ E Dedham St,42.337556,-71.067875
13,10014,Albany St opp Boston Medical,42.334117,-71.07251
14,10015,Harrison Ave @ E Newton St,42.337402,-71.072162
15,10016,TradeCenter 128,42.499312,-71.162566
16,10031,E 1st St @ P St,42.338307,-71.027132
17,10032,E 1st St opp O St,42.338274,-71.029203
18,10033,E 1st St @ O St,42.338176,-71.029444
19,101,Massachusetts Ave @ Sidney St,42.362988,-71.099486
20,10100,Albany St @ Randall St,42.331675,-71.076347
21,10101,Melnea Cass Blvd @ Harrison Ave,42.332066,-71.079147
22,102,Massachusetts Ave @ Prospect St,42.365291,-71.103404
23,1026,Chestnut Hill Ave @ Veronica Smith Ctr,42.348296,-71.153761
24,1027,Chestnut Hill Ave @ Englewood Ave,42.337121,-71.152079
25,1029,Chestnut Hill Ave @ Commonwealth Ave,42.338312,-71.153451
26,1030,Chestnut Hill Ave @ Strathmore Rd,42.340595,-71.155037
27,1032,Chestnut Hill Ave opp Wiltshire Rd,42.342645,-71.153726
28,1033,Chestnut Hill Ave @ Wallingford Rd,42.344607,-71.15322
29,1034,Chestnut Hill Ave @ Union St,42.346123,-71.152997
30,1035,Market St @ Washington St,42.349261,-71.153309
31,1036,Market St @ Sparhawk St,42.351738,-71.151763
32,1038,Market St @ Gardena St,42.35403,-71.150376
33,1039,Market St @ N Beacon St,42.355569,-71.149366
34,104,Massachusetts Ave @ Inman St,42.366779,-71.105813
35,1040,Market St @ Guest St,42.357313,-71.148285
36,1041,Market St @ Centola St,42.359279,-71.147082
37,10413,Columbus Ave @ Weld Ave - Egleston Sq,42.314898,-71.097377
