service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BUS423-hbs43sf1-Wdy-02,0,0,0,0,0,0,0,20231124,20231124
BUS423-hbs43sn1-Wdy-02,0,0,0,0,0,0,0,20231110,20231110
BUS423-hbs43sp1-Wdy-02,1,1,1,0,0,0,0,20231120,20231122
BUS423-hbs43sp6-Sa-02,0,0,0,0,0,1,0,20231118,20231125
BUS423-hbs43sp7-Su-02,0,0,0,0,0,0,1,20231119,20231126
BUS423-hbs43sw1-Wdy-02,1,1,1,1,1,0,0,20231011,20231215
BUS423-hbs43sw6-Sa-02,0,0,0,0,0,1,0,20231014,20231216
BUS423-hbs43sw7-Su-02,0,0,0,0,0,0,1,20231015,20231112
Boat-EastBoston-Sa-Fll-23,0,0,0,0,0,1,0,20231014,20231125
Boat-EastBoston-Su-Fll-23,0,0,0,0,0,0,1,20231015,20231126
Boat-EastBoston-Wdy-Fll-23,1,1,1,1,1,0,0,20231011,20231130
Boat-F1-Wdy-Fll-23,1,1,1,1,1,0,0,20231011,20231215
Boat-F4-Sa-Fll-23,0,0,0,0,0,1,0,20231014,20231216
Boat-F4-Su-Fll-23,0,0,0,0,0,0,1,20231015,20231210
Boat-F4-Wdy-Fll-23,1,1,1,1,1,0,0,20231011,20231215
Boat-F6-Wdy-Fll-23,1,1,1,1,1,0,0,20231011,20231130
Boat-Lynn-Wdy-Fll-23,1,1,1,1,1,0,0,20231011,20231031
CR-Haverhill-OakGroveReadingFll-Snd,0,0,0,0,0,0,1,20231015,20231105
CR-Haverhill-OakGroveReadingFll-Std,0,0,0,0,0,1,0,20231014,20231104
CR-Haverhill-OakGroveReadingFll-Wkd,1,1,1,1,1,0,0,20231011,20231103
CR-Haverhill-ReadingWoburnFll-Snd,0,0,0,0,0,0,1,20231015,20231105
CR-Haverhill-ReadingWoburnFll-Std,0,0,0,0,0,1,0,20231014,20231104
CR-Haverhill-ReadingWoburnFll-Wkd,1,1,1,1,1,0,0,20231011,20231103
CR-Newburyport-LynnShuttleFll-Snd,0,0,0,0,0,0,1,20231015,20231210
