from_leg_group_id,to_leg_group_id,transfer_count,duration_limit,duration_limit_type,fare_transfer_type,fare_product_id
leg_airport_rapid_transit_quick_subway,leg_local_bus_quick_subway,,7200,1,0,
leg_airport_rapid_transit_quick_subway,leg_rapid_transit_quick_subway,,,,0,
leg_mattapan_rapid_transit_quick_subway,leg_local_bus_quick_subway,,7200,1,0,
leg_mattapan_rapid_transit_quick_subway,leg_rail_replacement_quick_subway,,,,0,
leg_mattapan_rapid_transit_quick_subway,leg_rapid_transit_quick_subway,,7200,1,0,
leg_mattapan_rapid_transit_quick_subway,leg_ss_rapid_transit_quick_subway,,7200,1,0,
leg_rail_replacement_quick_subway,leg_airport_rapid_transit_quick_subway,,,,0,
leg_rail_replacement_quick_subway,leg_local_bus_quick_subway,,7200,1,0,
leg_rail_replacement_quick_subway,leg_mattapan_rapid_transit_quick_subway,,,,0,
leg_rail_replacement_quick_subway,leg_rail_replacement_quick_subway,-1,,,0,
leg_rail_replacement_quick_subway,leg_rapid_transit_quick_subway,,,,0,
leg_rail_replacement_quick_subway,leg_sl_rapid_transit_quick_subway,,,,0,
leg_rail_replacement_quick_subway,leg_ss_rapid_transit_quick_subway,,,,0,
leg_rapid_transit_cash,leg_rapid_transit_cash,-1,,,0,
leg_rapid_transit_cash,leg_sl_rapid_transit_cash,,,,0,
leg_rapid_transit_free,leg_rapid_transit_free,-1,,,0,
leg_rapid_transit_free,leg_sl_rapid_transit_free,,,,0,
leg_rapid_transit_quick_subway,leg_airport_rapid_transit_quick_subway,,7200,1,0,
leg_rapid_transit_quick_subway,leg_local_bus_quick_subway,,7200,1,0,
leg_rapid_transit_quick_subway,leg_mattapan_rapid_transit_quick_subway,,7200,1,0,
leg_rapid_transit_quick_subway,leg_rail_replacement_quick_subway,,,,0,
leg_rapid_transit_quick_subway,leg_rapid_transit_quick_subway,-1,,,0,
leg_rapid_transit_quick_subway,leg_sl_rapid_transit_quick_subway,,,,0,
leg_rapid_transit_quick_subway,leg_ss_rapid_transit_quick_subway,,7200,1,0,
leg_sl_rapid_transit_cash,leg_ss_rapid_transit_cash,,,,0,
leg_sl_rapid_transit_free,leg_ss_rapid_transit_free,,,,0,
leg_sl_rapid_transit_quick_subway,leg_airport_rapid_transit_quick_subway,,7200,1,0,
leg_sl_rapid_transit_quick_subway,leg_local_bus_quick_subway,,7200,1,0,
leg_sl_rapid_transit_quick_subway,leg_mattapan_rapid_transit_quick_subway,,7200,1,0,
leg_sl_rapid_transit_quick_subway,leg_rail_replacement_quick_subway,,,,0,
leg_sl_rapid_transit_quick_subway,leg_ss_rapid_transit_quick_subway,,,,0,
leg_ss_rapid_transit_cash,leg_rapid_transit_cash,,,,0,
leg_ss_rapid_transit_free,leg_rapid_transit_free,,,,0,
leg_ss_rapid_transit_quick_subway,leg_local_bus_quick_subway,,7200,1,0,
leg_ss_rapid_transit_quick_subway,leg_mattapan_rapid_transit_quick_subway,,7200,1,0,
leg_ss_rapid_transit_quick_subway,leg_rail_replacement_quick_subway,,,,0,
leg_ss_rapid_transit_quick_subway,leg_rapid_transit_quick_subway,,,,0,
