route_id,direction_id,travel_time
01,Inbound,0 days 20:29:00
01,Outbound,0 days 20:50:00
04,Inbound,0 days 12:33:00
04,Outbound,0 days 12:26:00
07,Inbound,0 days 17:09:00
07,Outbound,0 days 17:06:00
08,Inbound,0 days 19:44:00
08,Outbound,0 days 19:33:00
09,Inbound,0 days 19:56:00
09,Outbound,0 days 19:54:00
10,Inbound,0 days 20:10:00
10,Outbound,0 days 20:10:00
100,Inbound,0 days 19:54:00
100,Outbound,0 days 19:25:00
101,Inbound,0 days 20:20:00
101,Outbound,0 days 20:11:00
104,Inbound,0 days 20:31:00
104,Outbound,0 days 20:09:00
105,Inbound,0 days 14:11:00
105,Outbound,0 days 14:21:00
106,Inbound,0 days 20:38:00
106,Outbound,0 days 20:25:00
108,Inbound,0 days 20:02:00
108,Outbound,0 days 19:58:00
109,Inbound,0 days 20:40:00
109,Outbound,0 days 20:53:00
11,Inbound,0 days 19:53:00
11,Outbound,0 days 19:54:00
110,Inbound,0 days 20:05:00
110,Outbound,0 days 20:18:00
111,Inbound,0 days 20:31:00
111,Outbound,0 days 20:41:00
112,Inbound,0 days 14:11:00
112,Outbound,0 days 14:44:00
114,Inbound,0 days 07:04:00
114,Outbound,0 days 07:05:00
116,Inbound,0 days 20:09:00
116,Outbound,0 days 20:20:00
117,Inbound,0 days 20:49:00
117,Outbound,0 days 20:49:00
119,Inbound,0 days 17:29:00
119,Outbound,0 days 17:13:00
120,Inbound,0 days 19:36:00
120,Outbound,0 days 19:42:00
121,Inbound,0 days 12:34:00
121,Outbound,0 days 12:31:00
131,Inbound,0 days 12:59:00
131,Outbound,0 days 13:00:00
132,Inbound,0 days 17:54:00
132,Outbound,0 days 17:50:00
134,Inbound,0 days 19:36:00
134,Outbound,0 days 20:26:00
137,Inbound,0 days 17:41:00
137,Outbound,0 days 17:45:00
14,Inbound,0 days 14:22:00
14,Outbound,0 days 14:06:00
15,Inbound,0 days 21:52:00
15,Outbound,0 days 20:24:00
16,Inbound,0 days 21:10:00
16,Outbound,0 days 20:53:00
17,Inbound,0 days 17:16:00
17,Outbound,0 days 17:04:00
171,Outbound,0 days 01:08:00
18,Inbound,0 days 12:03:00
18,Outbound,0 days 11:57:00
19,Inbound,0 days 13:25:00
19,Outbound,0 days 13:39:00
191,Inbound,0 days 01:38:00
191,Outbound,0 days 00:43:00
192,Inbound,0 days 00:46:00
192,Outbound,0 days 00:34:00
193,Inbound,0 days 00:34:00
193,Outbound,0 days 00:35:00
194,Inbound,0 days 01:09:00
194,Outbound,0 days 00:24:00
201,Inbound,0 days 19:35:00
201,Outbound,0 days 19:12:00
202,Inbound,0 days 12:15:00
202,Outbound,0 days 12:10:00
21,Inbound,0 days 19:32:00
21,Outbound,0 days 20:06:00
210,Inbound,0 days 13:43:00
210,Outbound,0 days 20:14:00
211,Inbound,0 days 13:37:00
211,Outbound,0 days 13:47:00
215,Inbound,0 days 18:35:00
215,Outbound,0 days 18:41:00
216,Inbound,0 days 20:43:00
216,Outbound,0 days 20:51:00
217,Inbound,0 days 12:12:00
217,Outbound,0 days 12:04:00
22,Inbound,0 days 20:31:00
22,Outbound,0 days 19:47:00
220,Inbound,0 days 19:43:00
220,Outbound,0 days 19:45:00
222,Inbound,0 days 19:38:00
222,Outbound,0 days 19:34:00
225,Inbound,0 days 18:41:00
225,Outbound,0 days 18:44:00
226,Inbound,0 days 17:28:00
226,Outbound,0 days 17:39:00
23,Inbound,0 days 20:45:00
23,Outbound,0 days 21:01:00
230,Inbound,0 days 19:47:00
230,Outbound,0 days 19:21:00
236,Inbound,0 days 15:43:00
236,Outbound,0 days 15:35:00
238,Inbound,0 days 18:44:00
238,Outbound,0 days 17:59:00
24,Inbound,0 days 19:51:00
24,Outbound,0 days 20:04:00
240,Inbound,0 days 20:00:00
240,Outbound,0 days 19:35:00
245,Inbound,0 days 11:57:00
245,Outbound,0 days 12:00:00
26,Inbound,0 days 20:21:00
26,Outbound,0 days 20:19:00
28,Inbound,0 days 22:25:00
28,Outbound,0 days 20:50:00
29,Inbound,0 days 19:22:00
29,Outbound,0 days 19:04:00
30,Inbound,0 days 19:32:00
30,Outbound,0 days 19:21:00
31,Inbound,0 days 20:23:00
31,Outbound,0 days 20:52:00
32,Inbound,0 days 20:49:00
32,Outbound,0 days 20:52:00
33,Inbound,0 days 14:10:00
33,Outbound,0 days 14:10:00
34,Inbound,0 days 20:51:00
34,Outbound,0 days 20:57:00
35,Inbound,0 days 15:55:00
35,Outbound,0 days 15:52:00
