Neighborhood,Average Reliability Score
Jamaica Plain,0.6907900275095266
Roxbury,0.6764896760314946
Fenway,0.5902152944216029
Brighton,0.6884955196710764
West Roxbury,0.6719091021913284
Hyde Park,0.6905400062343011
East Boston,0.6366893510568382
Charlestown,0.7221104231166151
Downtown,0.6444111767243602
Longwood Medical Area,0.6797846802938823
Mattapan,0.6085243080079296
Dorchester,0.5910569944879603
South Boston,0.5721591049700965
Allston,0.7460697110037079
