route_id,direction_id,service_date,delay_time
01,Inbound,2022-01-14,2.424074074074074
01,Outbound,2022-01-14,2.109259259259259
04,Inbound,2022-01-14,4.083888888888889
04,Outbound,2022-01-14,3.6494949494949496
07,Inbound,2022-01-14,3.1780392156862742
07,Outbound,2022-01-14,1.894186046511628
08,Inbound,2022-01-14,4.169839449541285
08,Outbound,2022-01-14,4.014209664209664
09,Inbound,2022-01-14,3.4197791164658633
09,Outbound,2022-01-14,1.5768876611418048
10,Inbound,2022-01-14,3.672519841269841
10,Outbound,2022-01-14,3.1183491062039956
100,Inbound,2022-01-14,0.6895238095238095
100,Outbound,2022-01-14,1.2327380952380953
101,Inbound,2022-01-14,1.8489267676767678
101,Outbound,2022-01-14,1.8243933588761176
104,Inbound,2022-01-14,3.5998792270531403
104,Outbound,2022-01-14,2.7727339181286546
105,Inbound,2022-01-14,1.6429166666666668
105,Outbound,2022-01-14,1.1958333333333333
106,Inbound,2022-01-14,2.642485119047619
106,Outbound,2022-01-14,2.8967836257309942
108,Inbound,2022-01-14,2.2609195402298847
108,Outbound,2022-01-14,2.7774091627172193
109,Inbound,2022-01-14,1.278359173126615
109,Outbound,2022-01-14,2.2615615615615616
11,Inbound,2022-01-14,5.094181034482758
11,Outbound,2022-01-14,4.734424603174603
110,Inbound,2022-01-14,2.3976608187134505
110,Outbound,2022-01-14,2.2272580645161293
111,Inbound,2022-01-14,1.5916666666666666
111,Outbound,2022-01-14,1.435
112,Inbound,2022-01-14,1.8623015873015873
112,Outbound,2022-01-14,3.1042857142857145
114,Inbound,2022-01-14,3.798611111111111
114,Outbound,2022-01-14,2.397685185185185
116,Inbound,2022-01-14,2.4194444444444443
116,Outbound,2022-01-14,0.21388888888888888
117,Inbound,2022-01-14,0.9633333333333335
117,Outbound,2022-01-14,0.12272727272727274
119,Inbound,2022-01-14,2.1193827160493828
119,Outbound,2022-01-14,1.4725806451612902
120,Inbound,2022-01-14,2.4246
120,Outbound,2022-01-14,3.363364779874214
121,Inbound,2022-01-14,1.456597222222222
121,Outbound,2022-01-14,2.0545751633986926
131,Inbound,2022-01-14,2.90625
131,Outbound,2022-01-14,4.025757575757575
132,Inbound,2022-01-14,1.4454918032786885
132,Outbound,2022-01-14,1.378422619047619
134,Inbound,2022-01-14,2.70404984423676
134,Outbound,2022-01-14,2.8711382113821142
137,Inbound,2022-01-14,2.6397397397397397
137,Outbound,2022-01-14,3.917650103519669
14,Inbound,2022-01-14,2.10838779956427
14,Outbound,2022-01-14,1.5600217864923747
15,Inbound,2022-01-14,1.156060606060606
15,Outbound,2022-01-14,2.0716666666666663
16,Inbound,2022-01-14,4.491005967604433
16,Outbound,2022-01-14,2.6357549857549856
17,Inbound,2022-01-14,2.6866666666666665
17,Outbound,2022-01-14,3.2556349206349204
171,Outbound,2022-01-14,1.8777777777777775
18,Inbound,2022-01-14,2.2645833333333334
18,Outbound,2022-01-14,3.6929166666666666
19,Inbound,2022-01-14,3.761411889596603
19,Outbound,2022-01-14,5.399327569644572
191,Inbound,2022-01-14,0.35000000000000003
191,Outbound,2022-01-14,2.242424242424242
192,Inbound,2022-01-14,0.4
192,Outbound,2022-01-14,2.0777777777777775
193,Inbound,2022-01-14,3.888888888888889
193,Outbound,2022-01-14,3.198148148148148
194,Inbound,2022-01-14,0.1625
201,Inbound,2022-01-14,1.5702380952380952
201,Outbound,2022-01-14,2.1040305010893245
202,Inbound,2022-01-14,3.218429487179487
202,Outbound,2022-01-14,3.2449652777777778
21,Inbound,2022-01-14,3.5155502392344498
21,Outbound,2022-01-14,2.5497844827586205
210,Inbound,2022-01-14,3.2027980535279807
210,Outbound,2022-01-14,2.7447089947089944
211,Inbound,2022-01-14,4.831889763779527
211,Outbound,2022-01-14,0.8004385964912281
215,Inbound,2022-01-14,4.129863692688971
215,Outbound,2022-01-14,3.332666666666667
216,Inbound,2022-01-14,0.20871794871794871
216,Outbound,2022-01-14,2.1327898550724638
217,Inbound,2022-01-14,1.448245614035088
217,Outbound,2022-01-14,0.45092592592592595
22,Inbound,2022-01-14,2.3785714285714286
22,Outbound,2022-01-14,2.841666666666667
220,Inbound,2022-01-14,1.0273504273504273
220,Outbound,2022-01-14,2.676678876678877
222,Inbound,2022-01-14,0.5675084175084175
222,Outbound,2022-01-14,2.4183501683501682
225,Inbound,2022-01-14,1.6370370370370368
225,Outbound,2022-01-14,3.0514718614718612
226,Inbound,2022-01-14,0.7156944444444445
226,Outbound,2022-01-14,0.9605555555555555
23,Inbound,2022-01-14,0.013333333333333332
23,Outbound,2022-01-14,5.102777777777778
230,Inbound,2022-01-14,1.640233918128655
230,Outbound,2022-01-14,3.302371794871795
236,Inbound,2022-01-14,2.326747311827957
236,Outbound,2022-01-14,4.6043010752688165
238,Inbound,2022-01-14,0.2425438596491228
238,Outbound,2022-01-14,2.325663716814159
24,Inbound,2022-01-14,5.185159817351598
24,Outbound,2022-01-14,7.284920634920634
240,Inbound,2022-01-14,1.5773614363778297
240,Outbound,2022-01-14,1.3076406381192276
245,Inbound,2022-01-14,3.8345238095238097
245,Outbound,2022-01-14,0.983739837398374
26,Inbound,2022-01-14,2.8459876543209877
26,Outbound,2022-01-14,3.2427469135802474
28,Inbound,2022-01-14,5.809090909090909
28,Outbound,2022-01-14,1.9533333333333334
29,Inbound,2022-01-14,3.4857769423558898
29,Outbound,2022-01-14,2.4374074074074077
30,Inbound,2022-01-14,3.05447619047619
30,Outbound,2022-01-14,3.236764705882353
31,Inbound,2022-01-14,1.7749275362318842
31,Outbound,2022-01-14,3.0104
32,Inbound,2022-01-14,0.8968750000000001
32,Outbound,2022-01-14,6.654444444444445
33,Inbound,2022-01-14,2.064766081871345
33,Outbound,2022-01-14,2.945982142857143
34,Inbound,2022-01-14,2.0320402298850575
34,Outbound,2022-01-14,2.9589285714285714
34E,Inbound,2022-01-14,3.2078250154035737
34E,Outbound,2022-01-14,2.974331550802139
35,Inbound,2022-01-14,3.0574200913242007
35,Outbound,2022-01-14,3.8325342465753423
350,Inbound,2022-01-14,1.3328257191201354
350,Outbound,2022-01-14,1.4133333333333336
351,Inbound,2022-01-14,0.8230158730158731
351,Outbound,2022-01-14,0.8563492063492064
354,Inbound,2022-01-14,1.7581981981981982
354,Outbound,2022-01-14,2.382389937106918
36,Inbound,2022-01-14,3.43875
36,Outbound,2022-01-14,3.986904761904762
37,Inbound,2022-01-14,2.0541310541310542
37,Outbound,2022-01-14,2.8697222222222223
38,Inbound,2022-01-14,1.6366290018832392
38,Outbound,2022-01-14,3.0392982456140354
39,Inbound,2022-01-14,1.1757575757575758
39,Outbound,2022-01-14,1.6149999999999998
40,Inbound,2022-01-14,2.137261904761905
