route_id,direction_id,service_date,delay_time
45,Inbound,2022-12-11,3.1029478458049886
45,Outbound,2022-12-11,6.137195121951219
450,Inbound,2022-12-11,3.8115839243498812
450,Outbound,2022-12-11,2.7512731481481483
455,Inbound,2022-12-11,2.2825252525252524
455,Outbound,2022-12-11,1.3545833333333333
47,Inbound,2022-12-11,8.043276515151517
47,Outbound,2022-12-11,6.572554347826086
55,Inbound,2022-12-11,4.36
55,Outbound,2022-12-11,5.264197530864197
57,Inbound,2022-12-11,2.15
57,Outbound,2022-12-11,1.1854166666666668
59,Inbound,2022-12-11,3.6738095238095236
59,Outbound,2022-12-11,5.389880952380952
60,Inbound,2022-12-11,3.9471604938271607
60,Outbound,2022-12-11,5.073333333333333
61,Inbound,2022-12-11,12.81965811965812
61,Outbound,2022-12-11,3.4042735042735037
64,Inbound,2022-12-11,7.154333333333333
64,Outbound,2022-12-11,8.551666666666666
66,Inbound,2022-12-11,1.6962962962962964
66,Outbound,2022-12-11,4.483333333333333
69,Inbound,2022-12-11,4.856398809523809
69,Outbound,2022-12-11,4.80316091954023
70,Inbound,2022-12-11,5.507070707070707
70,Outbound,2022-12-11,6.031645569620253
71,Inbound,2022-12-11,3.858333333333334
71,Outbound,2022-12-11,1.363888888888889
73,Inbound,2022-12-11,2.4555555555555557
73,Outbound,2022-12-11,1.6416666666666668
743,Inbound,2022-12-11,0.16923076923076924
743,Outbound,2022-12-11,0.16666666666666666
746_,Inbound,2022-12-11,0.0
746_,Outbound,2022-12-11,0.0
75,Inbound,2022-12-11,3.7004830917874396
75,Outbound,2022-12-11,5.702898550724638
77,Inbound,2022-12-11,0.7703703703703704
77,Outbound,2022-12-11,0.37592592592592594
78,Inbound,2022-12-11,2.4453947368421054
78,Outbound,2022-12-11,3.367214912280702
80,Inbound,2022-12-11,6.308779761904762
80,Outbound,2022-12-11,8.851339285714285
83,Inbound,2022-12-11,5.2995
83,Outbound,2022-12-11,5.9957142857142856
86,Inbound,2022-12-11,6.103663003663003
86,Outbound,2022-12-11,5.367032967032967
87,Inbound,2022-12-11,7.539468864468865
87,Outbound,2022-12-11,7.698761904761905
88,Inbound,2022-12-11,5.508058608058608
88,Outbound,2022-12-11,6.626831501831502
89,Inbound,2022-12-11,6.506570512820513
89,Outbound,2022-12-11,7.959294871794872
90,Inbound,2022-12-11,6.240625
90,Outbound,2022-12-11,5.5303571428571425
91,Inbound,2022-12-11,3.3723333333333336
91,Outbound,2022-12-11,1.9616666666666667
93,Inbound,2022-12-11,6.451004016064257
93,Outbound,2022-12-11,4.742570281124498
94,Inbound,2022-12-11,2.681944444444444
94,Outbound,2022-12-11,1.76820987654321
95,Inbound,2022-12-11,3.6720779220779223
95,Outbound,2022-12-11,5.178455284552846
96,Inbound,2022-12-11,6.0765625
96,Outbound,2022-12-11,10.503854166666667
97,Inbound,2022-12-11,9.173703703703703
97,Outbound,2022-12-11,8.062592592592592
99,Inbound,2022-12-11,3.9583333333333335
99,Outbound,2022-12-11,4.523412698412698
SL1,Inbound,2022-12-11,0.29358974358974355
SL1,Outbound,2022-12-11,3.0214285714285714
SL2,Inbound,2022-12-11,2.12
SL2,Outbound,2022-12-11,7.37
SL4,Inbound,2022-12-11,1.1633333333333333
SL4,Outbound,2022-12-11,0.30666666666666664
SL5,Inbound,2022-12-11,0.37666666666666665
SL5,Outbound,2022-12-11,0.82
