FID,Shape_Leng,shape_id,route_id,agency_id,route_shor,route_long,route_desc,route_type,route_url,route_colo,route_text,route_sort,route_fare,line_id,listed_rou,route_ty_1,Shape__Length
13,0.0779939632821,1129916766,30acd4cd,1,T9,- HF (South Boston-Broadway-Copley), ,3, ,613FA6,ffffff, ,Local Bus, , ,Bus,9403.64431883976
14,0.0715649963717,1129916767,30acd4cd,1,T9,- HF (South Boston-Broadway-Copley), ,3, ,613FA6,ffffff, ,Local Bus, , ,Bus,8550.15123831819
15,0.103020375444,1129916768,a0122e3c,1,T110,- HF (Wellington-Everett-Wonderland), ,3, ,5A8400,ffffff, ,Local Bus, , ,Bus,12563.5473845669
16,0.104725665525,1129916769,a0122e3c,1,T110,- HF (Wellington-Everett-Wonderland), ,3, ,5A8400,ffffff, ,Local Bus, , ,Bus,12684.6924916861
17,0.0503005666359,1129916770,c3315f28,1,T31,- HF (Mattapan-Forest Hills), ,3, ,A72051,ffffff, ,Local Bus, , ,Bus,6831.45854000252
18,0.0554440894359,1129916771,c3315f28,1,T31,- HF (Mattapan-Forest Hills), ,3, ,A72051,ffffff, ,Local Bus, , ,Bus,7559.96221053579
19,0.135879228679,1129916772,45cfefec,1,T39,modified - HF (Porter-Central-LMA-Forest Hills), ,3, ,007DBD,ffffff, ,Local Bus, , ,Bus,17915.0593360366
20,0.142618412094,1129916773,45cfefec,1,T39,modified - HF (Porter-Central-LMA-Forest Hills), ,3, ,007DBD,ffffff, ,Local Bus, , ,Bus,18990.1730312031
21,0.0795623477793,1129916774,a4aaba89,1,T8,modified - HF (Harbor Point-Copley), ,3, ,A72051,ffffff, ,Local Bus, , ,Bus,9829.21041185504
22,0.0772770138626,1129916775,a4aaba89,1,T8,modified - HF (Harbor Point-Copley), ,3, ,A72051,ffffff, ,Local Bus, , ,Bus,9736.46254796761
23,0.0909048013063,1129916776,4aae30e1,1,T96,modified - HF (Malden-Medford-Porter), ,3, ,A72051,ffffff, ,Local Bus, , ,Bus,11506.5449656747
24,0.0779171135125,1129916777,4aae30e1,1,T96,modified - HF (Malden-Medford-Porter), ,3, ,A72051,ffffff, ,Local Bus, , ,Bus,9873.71595350214
25,0.108927039681,1129916778,fabc7a29,1,T104,modified - HF (Malden-Everett-Chelsea-Wood Island), ,3, ,005BAA,ffffff, ,Local Bus, , ,Bus,13705.4434952957
