gtfs_route_id_modified,metric_type,aggregated_otp_numerator,aggregated_otp_denominator,final_result
10,Headway / Schedule Adherence,79832.0,144490.0,0.5525088241400788
100,Headway / Schedule Adherence,76673.0,94523.0,0.8111570728817324
105,Headway / Schedule Adherence,23640.0,34222.0,0.6907837063877038
106,Headway / Schedule Adherence,74699.0,102093.0,0.7316760208829205
108,Headway / Schedule Adherence,64667.0,93414.0,0.6922624017813176
11,Headway / Schedule Adherence,92298.0,155959.0,0.5918093858001141
112,Headway / Schedule Adherence,38953.0,64582.0,0.6031556780527082
119,Headway / Schedule Adherence,31037.0,50640.0,0.6128949447077409
120,Headway / Schedule Adherence,60064.0,94338.0,0.6366893510568382
131,Headway / Schedule Adherence,18664.0,27266.0,0.6845155138267439
132,Headway / Schedule Adherence,30727.0,43476.0,0.706757751403073
137,Headway / Schedule Adherence,67602.0,109025.0,0.6200596193533593
14,Headway / Schedule Adherence,34646.0,61489.0,0.5634503732374896
18,Headway / Schedule Adherence,7567.0,16635.0,0.4548842801322513
19,Headway / Schedule Adherence,50257.0,107578.0,0.4671680083288405
21,Headway / Schedule Adherence,123560.0,156735.0,0.7883370019459598
210,Headway / Schedule Adherence,32730.0,52715.0,0.6208858958550697
211,Headway / Schedule Adherence,29955.0,47963.0,0.6245439192711049
215,Headway / Schedule Adherence,79398.0,123079.0,0.6450978639735454
216,Headway / Schedule Adherence,93266.0,129012.0,0.7229249992248783
217,Headway / Schedule Adherence,6993.0,12627.0,0.5538132573057734
220,Headway / Schedule Adherence,82862.0,116196.0,0.7131226548246067
222,Headway / Schedule Adherence,61960.0,90793.0,0.6824314649807804
225,Headway / Schedule Adherence,106537.0,145847.0,0.7304709730059583
230,Headway / Schedule Adherence,75475.0,116930.0,0.6454716497049516
236,Headway / Schedule Adherence,34838.0,57793.0,0.6028065682695136
238,Headway / Schedule Adherence,59202.0,106701.0,0.5548401608232351
24,Headway / Schedule Adherence,75699.0,117976.0,0.6416474537194006
240,Headway / Schedule Adherence,109546.0,180633.0,0.6064561846395731
245,Headway / Schedule Adherence,8796.0,14367.0,0.6122363750261015
26,Headway / Schedule Adherence,37760.0,57727.0,0.6541133265196528
29,Headway / Schedule Adherence,41272.0,86313.0,0.4781666724595368
30,Headway / Schedule Adherence,56711.0,79591.0,0.7125303112160922
34,Headway / Schedule Adherence,114695.0,167512.0,0.6846972157218587
34E,Headway / Schedule Adherence,151342.0,275167.0,0.5500005451235068
35,Headway / Schedule Adherence,65067.0,95587.0,0.6807097199409962
350,Headway / Schedule Adherence,95690.0,159972.0,0.5981671792563699
351,Headway / Schedule Adherence,6998.0,11151.0,0.6275670343466954
36,Headway / Schedule Adherence,104703.0,154232.0,0.6788669018102599
38,Headway / Schedule Adherence,56697.0,72357.0,0.7835731166300427
40,Headway / Schedule Adherence,45028.0,63285.0,0.7115114166074109
42,Headway / Schedule Adherence,60868.0,89191.0,0.6824455382269512
426,Headway / Schedule Adherence,56090.0,89487.0,0.6267949534569267
429,Headway / Schedule Adherence,36861.0,62426.0,0.5904751225450934
43,Headway / Schedule Adherence,55978.0,77520.0,0.7221104231166151
435,Headway / Schedule Adherence,32411.0,58346.0,0.555496520755493
436,Headway / Schedule Adherence,27600.0,42152.0,0.6547732017460619
439,Headway / Schedule Adherence,4407.0,6971.0,0.6321905035145603
442,Headway / Schedule Adherence,61889.0,94217.0,0.6568772089962533
450,Headway / Schedule Adherence,61618.0,112997.0,0.5453065125622805
451,Headway / Schedule Adherence,7583.0,12501.0,0.6065914726821854
455,Headway / Schedule Adherence,89074.0,151227.0,0.5890085765108083
50,Headway / Schedule Adherence,31169.0,43383.0,0.718461148376092
501,Headway / Schedule Adherence,33752.0,50016.0,0.6748240563019834
504,Headway / Schedule Adherence,44855.0,78581.0,0.5708122828673597
505,Headway / Schedule Adherence,25031.0,45777.0,0.5468029796622759
51,Headway / Schedule Adherence,51835.0,74014.0,0.7003404761261383
52,Headway / Schedule Adherence,25506.0,49653.0,0.5136849737176001
55,Headway / Schedule Adherence,9345.0,13747.0,0.6797846802938823
59,Headway / Schedule Adherence,41527.0,59406.0,0.6990371342961991
60,Headway / Schedule Adherence,78454.0,126728.0,0.6190739221008774
62,Headway / Schedule Adherence,53216.0,82382.0,0.645966351872982
64,Headway / Schedule Adherence,43873.0,63723.0,0.6884955196710764
68,Headway / Schedule Adherence,15339.0,18400.0,0.8336413043478261
69,Headway / Schedule Adherence,74900.0,95828.0,0.7816087156154777
70,Headway / Schedule Adherence,160782.0,265582.0,0.6053949439344534
75,Headway / Schedule Adherence,87298.0,112149.0,0.7784108641182712
76,Headway / Schedule Adherence,18979.0,29986.0,0.632928700060028
78,Headway / Schedule Adherence,81471.0,122471.0,0.6652268700345388
83,Headway / Schedule Adherence,61593.0,92785.0,0.6638249717087892
86,Headway / Schedule Adherence,111907.0,166662.0,0.6714608009024252
87,Headway / Schedule Adherence,113181.0,176196.0,0.642358509841313
90,Headway / Schedule Adherence,25487.0,37771.0,0.6747769452754759
94,Headway / Schedule Adherence,64521.0,83817.0,0.7697841726618705
95,Headway / Schedule Adherence,59533.0,81529.0,0.7302064296140024
99,Headway / Schedule Adherence,44913.0,59785.0,0.7512419503219872
