route_id,direction_id,end_to_end_travel_time
01,Inbound,22.033333333333335
01,Outbound,25.366666666666667
08,Inbound,37.6
08,Outbound,40.13333333333333
09,Inbound,25.666666666666668
09,Outbound,19.666666666666668
10,Inbound,32.083333333333336
10,Outbound,31.508333333333333
100,Inbound,9.85
100,Outbound,11.033333333333333
101,Inbound,22.28333333333333
101,Outbound,26.90833333333333
104,Inbound,22.0
104,Outbound,24.7
105,Inbound,22.458333333333336
105,Outbound,25.2
106,Inbound,26.65
106,Outbound,22.26666666666667
108,Inbound,24.850000000000005
108,Outbound,29.383333333333336
109,Inbound,18.40833333333333
109,Outbound,21.2
11,Inbound,26.408333333333335
11,Outbound,20.541666666666668
110,Inbound,23.1
110,Outbound,23.641666666666666
111,Inbound,17.066666666666666
111,Outbound,28.766666666666662
112,Inbound,43.0
112,Outbound,41.34166666666667
116,Inbound,21.5
117,Inbound,39.55
119,Inbound,32.3
119,Outbound,22.174999999999997
120,Inbound,19.075
120,Outbound,21.733333333333334
134,Inbound,12.566666666666666
134,Outbound,11.316666666666666
137,Inbound,41.2
137,Outbound,38.49166666666667
15,Inbound,18.666666666666668
15,Outbound,22.166666666666668
16,Inbound,22.0
16,Outbound,24.333333333333332
17,Inbound,14.983333333333334
17,Outbound,14.100000000000001
191,Inbound,40.95
194,Inbound,23.666666666666668
194,Outbound,36.4
201,Inbound,11.15
201,Outbound,10.908333333333333
21,Inbound,13.858333333333333
21,Outbound,12.333333333333334
211,Inbound,17.799999999999997
211,Outbound,20.566666666666666
215,Inbound,24.75
215,Outbound,30.616666666666667
216,Inbound,9.066666666666666
216,Outbound,18.783333333333335
22,Inbound,22.85
22,Outbound,20.783333333333335
220,Inbound,19.78333333333333
220,Outbound,20.833333333333332
222,Inbound,21.316666666666666
222,Outbound,19.025
225,Inbound,18.475
225,Outbound,20.35
23,Inbound,16.15
23,Outbound,18.333333333333332
230,Inbound,36.5
230,Outbound,33.46666666666667
236,Inbound,27.55
236,Outbound,23.4
238,Inbound,33.95
238,Outbound,33.891666666666666
24,Inbound,20.816666666666666
24,Outbound,25.166666666666668
240,Inbound,25.866666666666667
240,Outbound,24.30833333333333
26,Inbound,9.8
26,Outbound,7.683333333333334
28,Inbound,11.65
28,Outbound,25.6
30,Inbound,15.041666666666668
30,Outbound,15.8
31,Inbound,10.783333333333333
31,Outbound,12.25
32,Inbound,16.85
32,Outbound,10.25
34,Inbound,20.05
34,Outbound,18.25
34E,Inbound,39.333333333333336
34E,Outbound,36.11666666666667
35,Inbound,24.316666666666666
35,Outbound,24.216666666666665
350,Inbound,39.45
350,Outbound,42.56666666666667
36,Inbound,15.1
36,Outbound,16.75
39,Inbound,19.883333333333333
39,Outbound,21.4
40,Inbound,16.208333333333336
40,Outbound,19.31666666666667
41,Inbound,33.2
41,Outbound,28.983333333333334
42,Inbound,12.316666666666666
42,Outbound,12.433333333333334
426,Inbound,29.516666666666666
426,Outbound,28.3
429,Inbound,46.03333333333334
429,Outbound,43.43333333333333
43,Inbound,16.90833333333333
43,Outbound,11.3
435,Inbound,52.275
435,Outbound,47.28333333333333
44,Inbound,16.65
44,Outbound,22.0
441,Inbound,39.666666666666664
441,Outbound,37.7
442,Inbound,35.46666666666667
442,Outbound,35.13333333333334
45,Inbound,16.825
45,Outbound,21.558333333333334
450,Inbound,37.1
450,Outbound,39.53333333333333
455,Inbound,44.30833333333334
455,Outbound,43.18333333333333
47,Inbound,32.75
47,Outbound,34.983333333333334
55,Inbound,12.616666666666667
55,Outbound,20.95
57,Inbound,16.783333333333335
57,Outbound,16.733333333333334
59,Inbound,30.78333333333333
59,Outbound,30.95
60,Inbound,23.35
60,Outbound,24.65
61,Inbound,20.616666666666667
61,Outbound,10.0
64,Inbound,25.81666666666667
64,Outbound,26.616666666666667
66,Inbound,42.06666666666667
66,Outbound,31.466666666666665
69,Inbound,12.716666666666667
69,Outbound,12.283333333333333
70,Inbound,41.43333333333333
70,Outbound,34.24166666666666
71,Inbound,15.816666666666668
71,Outbound,46.38333333333333
73,Inbound,23.416666666666668
73,Outbound,15.75
743,Inbound,26.41666666666667
743,Outbound,21.45
75,Inbound,12.983333333333333
75,Outbound,14.466666666666667
77,Inbound,20.45
78,Inbound,21.2
78,Outbound,23.2
80,Inbound,23.591666666666665
80,Outbound,25.46666666666667
83,Inbound,18.616666666666667
83,Outbound,18.166666666666668
86,Inbound,33.08333333333333
86,Outbound,35.30833333333334
87,Inbound,18.76666666666667
87,Outbound,21.2
88,Inbound,19.641666666666666
88,Outbound,18.875
89,Inbound,13.283333333333333
89,Outbound,22.45
90,Inbound,26.416666666666668
90,Outbound,22.891666666666666
91,Inbound,13.683333333333334
91,Outbound,10.766666666666667
93,Inbound,16.53333333333333
93,Outbound,13.283333333333333
94,Inbound,35.05833333333334
94,Outbound,15.733333333333334
95,Inbound,17.558333333333334
95,Outbound,22.433333333333334
96,Inbound,20.916666666666668
96,Outbound,21.358333333333334
97,Inbound,21.275
97,Outbound,21.858333333333334
99,Inbound,22.316666666666666
99,Outbound,26.241666666666667
SL2,Inbound,7.2666666666666675
SL2,Outbound,12.666666666666666
SL5,Inbound,16.116666666666667
SL5,Outbound,10.666666666666666
