route_id,direction_id,end_to_end_travel_time
01,Inbound,23.7
01,Outbound,23.916666666666668
04,Inbound,25.0
04,Outbound,16.758333333333333
07,Inbound,14.55
07,Outbound,13.283333333333331
08,Inbound,49.61666666666667
08,Outbound,53.966666666666676
09,Inbound,26.066666666666666
09,Outbound,19.966666666666665
10,Inbound,36.05
10,Outbound,35.85
100,Inbound,10.941666666666666
100,Outbound,10.266666666666667
101,Inbound,24.366666666666667
101,Outbound,28.23333333333333
104,Inbound,24.708333333333332
104,Outbound,25.1
105,Inbound,28.65
105,Outbound,43.38333333333333
106,Inbound,29.008333333333333
106,Outbound,27.091666666666665
108,Inbound,27.94166666666667
108,Outbound,30.399999999999995
109,Inbound,19.65
109,Outbound,20.75
11,Inbound,27.924999999999997
11,Outbound,24.3
110,Inbound,26.741666666666667
110,Outbound,26.983333333333334
111,Inbound,20.8
111,Outbound,28.28333333333334
112,Inbound,49.28333333333334
112,Outbound,47.333333333333336
114,Inbound,17.033333333333335
114,Outbound,16.283333333333335
116,Inbound,33.95
116,Outbound,31.616666666666664
117,Inbound,21.55
117,Outbound,23.76666666666667
119,Inbound,33.7
119,Outbound,23.733333333333334
120,Inbound,23.116666666666664
120,Outbound,27.15
121,Inbound,8.816666666666666
121,Outbound,8.1
131,Inbound,29.875
131,Outbound,28.516666666666666
132,Inbound,26.95833333333333
132,Outbound,21.65
134,Inbound,39.400000000000006
134,Outbound,43.44166666666666
137,Inbound,39.608333333333334
137,Outbound,35.8
14,Inbound,48.46666666666667
14,Outbound,44.15
15,Inbound,13.833333333333334
15,Outbound,28.55
16,Inbound,27.666666666666664
16,Outbound,29.700000000000003
17,Inbound,19.233333333333334
17,Outbound,17.258333333333333
18,Inbound,30.116666666666667
18,Outbound,24.6
19,Inbound,38.633333333333326
19,Outbound,45.041666666666664
191,Inbound,49.16666666666666
191,Outbound,38.233333333333334
192,Inbound,47.88333333333333
192,Outbound,22.783333333333335
193,Inbound,34.1
193,Outbound,30.81666666666667
194,Inbound,24.033333333333335
201,Inbound,11.733333333333333
201,Outbound,9.7
202,Inbound,16.21666666666667
202,Outbound,12.083333333333332
21,Inbound,16.075000000000003
21,Outbound,14.075
210,Inbound,28.566666666666666
210,Outbound,25.3
211,Inbound,20.183333333333334
211,Outbound,28.308333333333334
215,Inbound,27.475
215,Outbound,29.43333333333333
216,Inbound,10.958333333333332
216,Outbound,19.53333333333333
217,Inbound,39.03333333333333
217,Outbound,36.55833333333334
22,Inbound,26.383333333333333
22,Outbound,21.95
220,Inbound,21.416666666666668
220,Outbound,23.2
222,Inbound,23.316666666666663
222,Outbound,20.941666666666666
225,Inbound,19.950000000000003
225,Outbound,20.116666666666667
226,Inbound,22.691666666666666
226,Outbound,18.549999999999997
23,Inbound,24.266666666666666
23,Outbound,24.3
230,Inbound,45.583333333333336
230,Outbound,40.608333333333334
236,Inbound,30.066666666666666
236,Outbound,26.108333333333334
238,Inbound,45.61666666666667
238,Outbound,37.55
24,Inbound,25.866666666666667
24,Outbound,34.58333333333333
240,Inbound,37.266666666666666
240,Outbound,32.96666666666667
245,Inbound,28.041666666666668
245,Outbound,29.44166666666667
26,Inbound,10.183333333333334
26,Outbound,10.175
28,Inbound,12.016666666666667
28,Outbound,29.783333333333335
29,Inbound,28.28333333333333
29,Outbound,26.8
30,Inbound,19.55
30,Outbound,20.016666666666666
31,Inbound,9.75
31,Outbound,12.083333333333334
33,Inbound,22.108333333333334
33,Outbound,25.25
34,Inbound,19.808333333333334
34,Outbound,18.34166666666667
34E,Inbound,44.63333333333333
34E,Outbound,45.349999999999994
35,Inbound,24.658333333333335
35,Outbound,22.575
350,Inbound,42.59166666666667
350,Outbound,45.56666666666667
351,Inbound,13.033333333333333
351,Outbound,17.75
354,Inbound,45.349999999999994
354,Outbound,51.11666666666666
36,Inbound,20.875
36,Outbound,19.175
37,Inbound,17.85
37,Outbound,15.75
38,Inbound,18.45
38,Outbound,17.983333333333334
39,Inbound,21.95
39,Outbound,22.183333333333334
40,Inbound,25.083333333333332
40,Outbound,22.425
41,Inbound,39.45
41,Outbound,33.33333333333333
411,Inbound,38.266666666666666
411,Outbound,21.616666666666667
42,Inbound,14.866666666666667
42,Outbound,15.383333333333333
424,Inbound,31.866666666666664
424,Outbound,36.625
426,Inbound,42.49166666666667
426,Outbound,36.25
428,Inbound,65.2
428,Outbound,35.8
429,Inbound,44.05833333333334
429,Outbound,43.05833333333334
43,Inbound,16.833333333333336
43,Outbound,12.866666666666669
430,Inbound,33.28333333333333
430,Outbound,31.083333333333332
435,Inbound,56.53333333333333
435,Outbound,62.35
436,Inbound,48.45
436,Outbound,40.725
439,Inbound,27.93333333333333
439,Outbound,12.55
44,Inbound,20.041666666666668
44,Outbound,27.133333333333333
441,Inbound,49.9
441,Outbound,42.59166666666667
442,Inbound,30.116666666666667
442,Outbound,31.15833333333333
45,Inbound,21.7
45,Outbound,25.166666666666664
450,Inbound,48.55
450,Outbound,55.85
451,Inbound,28.933333333333334
451,Outbound,46.775000000000006
455,Inbound,56.625
455,Outbound,56.508333333333326
456,Inbound,24.6
456,Outbound,30.716666666666665
47,Inbound,40.11666666666667
47,Outbound,41.1
50,Inbound,18.508333333333333
50,Outbound,16.15833333333333
501,Inbound,29.433333333333334
501,Outbound,31.508333333333336
504,Inbound,23.366666666666664
504,Outbound,24.083333333333332
505,Inbound,40.833333333333336
505,Outbound,44.599999999999994
51,Inbound,29.958333333333336
51,Outbound,28.516666666666666
52,Inbound,32.599999999999994
52,Outbound,36.54166666666667
55,Inbound,12.449999999999998
55,Outbound,20.15
553,Inbound,31.733333333333334
553,Outbound,38.9
554,Inbound,32.85
554,Outbound,32.05
556,Inbound,23.083333333333332
556,Outbound,25.966666666666665
558,Inbound,30.45
558,Outbound,26.75
57,Inbound,29.666666666666664
57,Outbound,14.6
59,Inbound,35.666666666666664
59,Outbound,36.31666666666667
60,Inbound,27.15
60,Outbound,32.24166666666667
61,Inbound,26.533333333333335
61,Outbound,13.166666666666666
62,Inbound,36.016666666666666
62,Outbound,38.31666666666667
64,Inbound,32.75833333333333
64,Outbound,35.85
65,Inbound,27.883333333333336
65,Outbound,28.133333333333333
66,Inbound,42.925
66,Outbound,31.166666666666668
67,Inbound,14.816666666666666
67,Outbound,19.258333333333333
68,Inbound,13.175
68,Outbound,13.233333333333333
69,Inbound,16.691666666666666
69,Outbound,15.308333333333334
70,Inbound,50.61666666666667
70,Outbound,44.225
71,Inbound,11.625
71,Outbound,16.05
73,Inbound,18.033333333333335
73,Outbound,13.016666666666667
74,Inbound,14.483333333333334
74,Outbound,16.233333333333334
743,Inbound,21.416666666666668
743,Outbound,22.416666666666668
746_,Inbound,4.383333333333334
75,Inbound,15.633333333333333
75,Outbound,16.558333333333334
76,Inbound,28.933333333333334
76,Outbound,32.708333333333336
77,Inbound,16.883333333333333
77,Outbound,22.283333333333335
78,Inbound,24.716666666666665
78,Outbound,27.941666666666666
80,Inbound,27.55
80,Outbound,29.95
83,Inbound,23.266666666666666
83,Outbound,20.65833333333333
85,Inbound,14.9
85,Outbound,16.75
86,Inbound,37.21666666666667
86,Outbound,40.69166666666666
87,Inbound,28.96666666666667
87,Outbound,26.491666666666667
88,Inbound,21.8
88,Outbound,20.0
89,Inbound,15.975000000000001
89,Outbound,22.433333333333334
90,Inbound,25.966666666666665
90,Outbound,24.433333333333334
91,Inbound,15.5
91,Outbound,13.116666666666667
92,Inbound,24.933333333333334
92,Outbound,17.916666666666668
93,Inbound,27.475
93,Outbound,19.466666666666665
94,Inbound,32.61666666666667
94,Outbound,18.9
95,Inbound,18.95
95,Outbound,28.03333333333334
96,Inbound,24.816666666666666
96,Outbound,26.983333333333334
97,Inbound,23.316666666666666
97,Outbound,24.725
99,Inbound,26.55
99,Outbound,27.783333333333335
CT2,Inbound,47.25
CT2,Outbound,42.38333333333333
CT3,Inbound,28.941666666666663
CT3,Outbound,23.5
SL4,Inbound,11.383333333333333
SL4,Outbound,19.683333333333334
SL5,Inbound,10.833333333333334
SL5,Outbound,13.033333333333335
