route_id,direction_id,end_to_end_travel_time
01,Inbound,24.45
01,Outbound,19.516666666666666
04,Inbound,23.058333333333334
04,Outbound,17.94166666666667
07,Inbound,14.808333333333334
07,Outbound,12.283333333333333
08,Inbound,49.41666666666666
08,Outbound,53.45
09,Inbound,22.333333333333332
09,Outbound,19.541666666666664
10,Inbound,34.641666666666666
10,Outbound,34.1
100,Inbound,10.316666666666666
100,Outbound,10.15
101,Inbound,25.0
101,Outbound,28.71666666666667
104,Inbound,22.850000000000005
104,Outbound,24.650000000000002
105,Inbound,28.916666666666668
105,Outbound,39.95833333333333
106,Inbound,30.76666666666667
106,Outbound,27.3
108,Inbound,29.033333333333335
108,Outbound,31.266666666666666
109,Inbound,20.183333333333334
109,Outbound,20.46666666666667
11,Inbound,28.933333333333334
11,Outbound,23.283333333333335
110,Inbound,24.533333333333335
110,Outbound,24.766666666666666
111,Inbound,18.516666666666666
111,Outbound,15.76666666666667
112,Inbound,46.516666666666666
112,Outbound,54.7
114,Inbound,19.466666666666665
114,Outbound,18.55
116,Inbound,39.733333333333334
116,Outbound,24.55
117,Inbound,20.366666666666667
117,Outbound,18.35
119,Inbound,31.65
119,Outbound,24.258333333333333
120,Inbound,21.899999999999995
120,Outbound,26.65
121,Inbound,9.866666666666667
121,Outbound,8.25
131,Inbound,29.416666666666668
131,Outbound,29.95
132,Inbound,24.983333333333334
132,Outbound,20.5
134,Inbound,40.625
134,Outbound,39.891666666666666
137,Inbound,39.733333333333334
137,Outbound,36.0
14,Inbound,47.95
14,Outbound,46.766666666666666
15,Inbound,13.566666666666666
15,Outbound,24.875
16,Inbound,26.808333333333334
16,Outbound,29.4
17,Inbound,18.43333333333333
17,Outbound,15.341666666666669
18,Inbound,26.416666666666668
18,Outbound,24.691666666666666
19,Inbound,36.46666666666667
19,Outbound,41.8
191,Inbound,38.766666666666666
191,Outbound,41.416666666666664
192,Inbound,43.18333333333333
192,Outbound,22.7
193,Inbound,35.78333333333333
193,Outbound,33.43333333333333
194,Inbound,28.55
201,Inbound,11.9
201,Outbound,9.858333333333334
202,Inbound,15.316666666666666
202,Outbound,11.6
21,Inbound,13.733333333333334
21,Outbound,13.4
210,Inbound,24.341666666666665
210,Outbound,23.95
211,Inbound,20.15833333333333
211,Outbound,26.033333333333335
215,Inbound,26.716666666666665
215,Outbound,28.583333333333332
216,Inbound,11.25
216,Outbound,20.308333333333334
217,Inbound,34.666666666666664
217,Outbound,35.516666666666666
22,Inbound,22.533333333333335
22,Outbound,24.033333333333335
220,Inbound,21.05
220,Outbound,23.391666666666666
222,Inbound,22.233333333333334
222,Outbound,20.3
225,Inbound,18.366666666666667
225,Outbound,21.416666666666668
226,Inbound,21.799999999999997
226,Outbound,18.116666666666667
23,Inbound,24.066666666666666
23,Outbound,18.116666666666667
230,Inbound,42.083333333333336
230,Outbound,39.175
236,Inbound,31.416666666666668
236,Outbound,26.825
238,Inbound,41.31666666666666
238,Outbound,38.733333333333334
24,Inbound,27.6
24,Outbound,32.85
240,Inbound,41.0
240,Outbound,32.65833333333333
245,Inbound,28.31666666666667
245,Outbound,29.358333333333334
26,Inbound,9.616666666666667
26,Outbound,9.883333333333333
28,Inbound,15.800000000000002
28,Outbound,32.55
29,Inbound,28.53333333333333
29,Outbound,27.758333333333333
30,Inbound,18.683333333333334
30,Outbound,19.3
31,Inbound,9.266666666666667
31,Outbound,11.65
32,Inbound,14.283333333333333
32,Outbound,10.866666666666667
33,Inbound,22.633333333333333
33,Outbound,24.53333333333333
34,Inbound,23.6
34,Outbound,20.008333333333333
34E,Inbound,45.525000000000006
34E,Outbound,45.24166666666667
35,Inbound,23.44166666666667
35,Outbound,22.116666666666664
350,Inbound,42.1
350,Outbound,44.20000000000001
351,Inbound,12.300000000000002
351,Outbound,14.2
354,Inbound,45.45
354,Outbound,49.358333333333334
36,Inbound,21.233333333333334
36,Outbound,19.983333333333334
37,Inbound,18.65
37,Outbound,15.1
38,Inbound,16.816666666666666
38,Outbound,17.133333333333333
39,Inbound,22.633333333333333
39,Outbound,22.116666666666667
40,Inbound,22.40833333333333
40,Outbound,22.01666666666667
41,Inbound,40.35
41,Outbound,33.766666666666666
411,Inbound,19.058333333333334
411,Outbound,24.666666666666668
42,Inbound,14.758333333333333
42,Outbound,15.3
424,Inbound,29.108333333333334
424,Outbound,35.583333333333336
426,Inbound,41.69166666666666
426,Outbound,37.391666666666666
428,Inbound,83.83333333333333
429,Inbound,42.95
429,Outbound,44.4
43,Inbound,16.75
43,Outbound,11.558333333333334
430,Inbound,33.68333333333334
430,Outbound,31.21666666666667
435,Inbound,61.05833333333333
435,Outbound,64.475
436,Inbound,45.56666666666667
436,Outbound,43.916666666666664
439,Inbound,25.93333333333333
439,Outbound,12.916666666666666
44,Inbound,21.066666666666666
44,Outbound,27.141666666666666
441,Inbound,51.16666666666667
441,Outbound,41.833333333333336
442,Inbound,36.55
442,Outbound,32.28333333333333
45,Inbound,22.35833333333333
45,Outbound,27.51666666666667
450,Inbound,46.916666666666664
450,Outbound,50.833333333333336
451,Inbound,26.95
451,Outbound,45.974999999999994
455,Inbound,56.3
455,Outbound,53.66666666666667
456,Inbound,24.883333333333336
456,Outbound,26.416666666666668
47,Inbound,42.05
47,Outbound,40.0
50,Inbound,19.016666666666666
50,Outbound,15.716666666666665
501,Inbound,24.316666666666666
504,Inbound,21.758333333333333
504,Outbound,22.75
505,Inbound,32.71666666666667
505,Outbound,51.18333333333333
51,Inbound,27.566666666666666
51,Outbound,26.925
52,Inbound,29.974999999999994
52,Outbound,36.46666666666667
55,Inbound,12.4
55,Outbound,17.566666666666666
553,Inbound,31.833333333333336
553,Outbound,33.75833333333333
554,Inbound,33.45
554,Outbound,29.916666666666664
556,Inbound,26.03333333333333
556,Outbound,27.2
558,Inbound,27.7
558,Outbound,24.924999999999997
57,Inbound,29.441666666666666
59,Inbound,35.90833333333333
59,Outbound,34.50833333333333
60,Inbound,26.233333333333334
60,Outbound,29.133333333333333
61,Inbound,22.850000000000005
