route_id,direction_id,end_to_end_travel_time
01,Inbound,23.533333333333335
01,Outbound,20.5
04,Inbound,24.149999999999995
04,Outbound,15.766666666666667
07,Inbound,14.183333333333334
07,Outbound,13.033333333333335
08,Inbound,49.483333333333334
08,Outbound,54.58333333333334
09,Inbound,27.350000000000005
09,Outbound,20.516666666666666
10,Inbound,36.36666666666666
10,Outbound,34.925
100,Inbound,10.416666666666666
100,Outbound,10.25
101,Inbound,24.8
101,Outbound,27.166666666666668
104,Inbound,23.066666666666666
104,Outbound,24.516666666666666
105,Inbound,28.616666666666667
105,Outbound,39.36666666666667
106,Inbound,28.0
106,Outbound,26.866666666666667
108,Inbound,27.275
108,Outbound,29.833333333333332
109,Inbound,20.45
109,Outbound,21.724999999999998
11,Inbound,28.125
11,Outbound,23.049999999999997
110,Inbound,26.416666666666668
110,Outbound,24.566666666666666
111,Inbound,17.45
111,Outbound,16.983333333333334
112,Inbound,52.724999999999994
112,Outbound,52.30833333333334
114,Inbound,16.55
114,Outbound,17.766666666666666
116,Inbound,26.116666666666664
116,Outbound,33.1
117,Inbound,21.9
117,Outbound,23.0
119,Inbound,32.025
119,Outbound,22.95
120,Inbound,22.783333333333335
120,Outbound,27.825000000000003
121,Inbound,9.166666666666666
121,Outbound,8.925
131,Inbound,27.066666666666666
131,Outbound,29.1
132,Inbound,27.475
132,Outbound,21.19166666666667
134,Inbound,39.45
134,Outbound,43.625
137,Inbound,38.666666666666664
137,Outbound,35.8
14,Inbound,48.78333333333333
14,Outbound,47.31666666666667
15,Inbound,12.516666666666667
15,Outbound,27.21666666666667
16,Inbound,25.1
16,Outbound,30.033333333333335
17,Inbound,19.7
17,Outbound,18.708333333333336
18,Inbound,24.633333333333333
18,Outbound,23.875
19,Inbound,33.70833333333333
19,Outbound,38.20833333333333
191,Inbound,36.733333333333334
191,Outbound,41.86666666666667
192,Inbound,43.85
192,Outbound,26.016666666666666
193,Inbound,31.883333333333333
193,Outbound,31.483333333333334
201,Inbound,11.733333333333333
201,Outbound,10.183333333333334
202,Inbound,16.116666666666667
202,Outbound,12.566666666666666
21,Inbound,14.816666666666668
21,Outbound,12.783333333333333
210,Inbound,25.266666666666666
210,Outbound,25.6
211,Inbound,19.15
211,Outbound,23.083333333333332
215,Inbound,25.725
215,Outbound,28.075
216,Inbound,11.016666666666667
216,Outbound,20.59166666666667
217,Inbound,32.61666666666667
217,Outbound,40.016666666666666
22,Inbound,27.8
22,Outbound,21.466666666666665
220,Inbound,21.7
220,Outbound,23.333333333333332
222,Inbound,22.933333333333334
222,Outbound,20.866666666666667
