route_id,direction_id,end_to_end_travel_time
01,Inbound,18.916666666666668
01,Outbound,21.166666666666668
04,Inbound,15.983333333333333
04,Outbound,16.083333333333332
07,Inbound,13.808333333333334
07,Outbound,12.933333333333334
08,Inbound,47.28333333333333
08,Outbound,52.61666666666667
09,Inbound,26.8
09,Outbound,21.525
10,Inbound,35.28333333333333
10,Outbound,32.81666666666667
100,Inbound,11.0
100,Outbound,10.191666666666666
101,Inbound,24.8
101,Outbound,27.833333333333332
104,Inbound,23.183333333333334
104,Outbound,25.400000000000002
105,Inbound,27.033333333333335
105,Outbound,35.916666666666664
106,Inbound,27.75
106,Outbound,29.05833333333333
108,Inbound,28.483333333333334
108,Outbound,31.0
109,Inbound,19.625
109,Outbound,20.8
11,Inbound,24.316666666666666
11,Outbound,22.633333333333336
110,Inbound,25.916666666666668
110,Outbound,24.733333333333334
111,Inbound,17.1
111,Outbound,29.666666666666668
112,Inbound,49.825
112,Outbound,49.69166666666667
114,Inbound,18.7
114,Outbound,18.15
116,Inbound,30.916666666666668
116,Outbound,23.233333333333334
117,Inbound,29.133333333333333
117,Outbound,24.941666666666666
119,Inbound,32.59166666666667
119,Outbound,23.516666666666666
120,Inbound,23.433333333333334
120,Outbound,26.50833333333334
121,Inbound,9.708333333333332
121,Outbound,9.591666666666667
131,Inbound,28.40833333333333
131,Outbound,33.266666666666666
132,Inbound,29.766666666666662
132,Outbound,19.258333333333333
134,Inbound,39.38333333333333
134,Outbound,40.21666666666667
137,Inbound,38.766666666666666
137,Outbound,34.075
14,Inbound,47.28333333333333
14,Outbound,46.166666666666664
15,Inbound,13.383333333333335
15,Outbound,14.783333333333333
16,Inbound,24.833333333333332
16,Outbound,28.783333333333335
17,Inbound,19.716666666666665
17,Outbound,17.366666666666667
18,Inbound,24.216666666666665
18,Outbound,24.791666666666664
19,Inbound,37.583333333333336
19,Outbound,43.416666666666664
191,Inbound,40.38333333333333
191,Outbound,42.9
192,Inbound,39.88333333333333
192,Outbound,26.766666666666666
193,Inbound,30.93333333333333
193,Outbound,27.5
194,Inbound,20.8
201,Inbound,12.933333333333334
201,Outbound,11.016666666666666
202,Inbound,15.05
202,Outbound,11.85
21,Inbound,13.975000000000001
21,Outbound,13.933333333333332
210,Inbound,25.383333333333333
210,Outbound,28.73333333333333
211,Inbound,19.383333333333333
211,Outbound,23.850000000000005
215,Inbound,26.108333333333334
215,Outbound,29.549999999999997
216,Inbound,10.916666666666666
216,Outbound,20.583333333333336
217,Inbound,40.03333333333333
217,Outbound,43.11666666666667
22,Inbound,26.783333333333335
22,Outbound,24.083333333333332
220,Inbound,21.916666666666664
220,Outbound,23.833333333333332
222,Inbound,22.350000000000005
222,Outbound,21.575000000000003
225,Inbound,19.533333333333335
225,Outbound,21.108333333333334
226,Inbound,19.258333333333333
226,Outbound,18.383333333333333
23,Inbound,21.233333333333334
23,Outbound,17.516666666666666
230,Inbound,51.05
230,Outbound,41.38333333333333
236,Inbound,29.916666666666668
236,Outbound,25.641666666666666
238,Inbound,38.833333333333336
238,Outbound,39.9
24,Inbound,25.45
24,Outbound,32.55
240,Inbound,36.86666666666667
240,Outbound,34.608333333333334
245,Inbound,27.216666666666665
245,Outbound,28.483333333333334
26,Inbound,8.85
26,Outbound,9.6
28,Inbound,15.416666666666666
28,Outbound,31.3
29,Inbound,28.35
29,Outbound,28.833333333333332
30,Inbound,19.616666666666667
30,Outbound,19.333333333333332
31,Inbound,11.516666666666667
31,Outbound,11.566666666666666
32,Inbound,12.766666666666667
32,Outbound,11.983333333333333
33,Inbound,22.1
33,Outbound,23.666666666666668
34,Inbound,21.566666666666666
34,Outbound,18.325
34E,Inbound,45.05
34E,Outbound,46.8
35,Inbound,24.65833333333333
35,Outbound,25.066666666666666
350,Inbound,42.19166666666666
350,Outbound,47.46666666666667
351,Inbound,14.050000000000002
351,Outbound,16.966666666666665
354,Inbound,43.68333333333333
354,Outbound,48.86666666666667
36,Inbound,21.9
36,Outbound,19.216666666666665
37,Inbound,17.766666666666666
37,Outbound,15.6
38,Inbound,17.125
38,Outbound,15.833333333333334
39,Inbound,22.15
39,Outbound,24.1
40,Inbound,22.266666666666666
40,Outbound,22.4
41,Inbound,39.65
41,Outbound,31.958333333333336
411,Inbound,18.65
411,Outbound,17.616666666666667
42,Inbound,14.066666666666666
42,Outbound,13.883333333333333
424,Inbound,28.7
424,Outbound,30.05833333333333
426,Inbound,40.34166666666667
426,Outbound,37.96666666666667
428,Inbound,41.266666666666666
428,Outbound,35.68333333333333
429,Inbound,44.31666666666667
429,Outbound,44.141666666666666
43,Inbound,16.549999999999997
43,Outbound,11.7
430,Inbound,34.28333333333333
430,Outbound,32.416666666666664
435,Inbound,58.96666666666666
435,Outbound,63.108333333333334
436,Inbound,46.958333333333336
436,Outbound,45.0
439,Inbound,32.516666666666666
439,Outbound,13.583333333333334
44,Inbound,19.966666666666665
44,Outbound,25.108333333333334
441,Inbound,50.41666666666667
441,Outbound,43.45
442,Inbound,37.125
442,Outbound,36.33333333333333
45,Inbound,21.35
45,Outbound,26.425
450,Inbound,46.88333333333333
