,route_id,direction_id,travel_time_seconds,average_travel_time
0,01,Inbound,2186.178082191781,0 days 00:36:26.178082192
1,01,Outbound,2036.2826523777628,0 days 00:33:56.282652378
2,04,Inbound,1362.3664122137404,0 days 00:22:42.366412214
3,04,Outbound,1295.1330798479087,0 days 00:21:35.133079848
4,07,Inbound,983.1116687578419,0 days 00:16:23.111668758
5,07,Outbound,876.9397590361446,0 days 00:14:36.939759036
6,08,Inbound,2973.036211699164,0 days 00:49:33.036211699
7,08,Outbound,3279.767441860465,0 days 00:54:39.767441860
8,09,Inbound,1823.0196749358427,0 days 00:30:23.019674936
9,09,Outbound,1403.5589421783952,0 days 00:23:23.558942178
10,10,Inbound,2215.960502692998,0 days 00:36:55.960502693
11,10,Outbound,2113.189189189189,0 days 00:35:13.189189189
12,100,Inbound,767.1957671957672,0 days 00:12:47.195767196
13,100,Outbound,781.4374445430346,0 days 00:13:01.437444543
14,101,Inbound,1722.399445214979,0 days 00:28:42.399445215
15,101,Outbound,1868.7679083094556,0 days 00:31:08.767908309
16,104,Inbound,1711.5613382899628,0 days 00:28:31.561338290
17,104,Outbound,1811.3367609254499,0 days 00:30:11.336760925
18,105,Inbound,2045.9447004608294,0 days 00:34:05.944700461
19,105,Outbound,2235.6880733944954,0 days 00:37:15.688073394
20,106,Inbound,2001.6704288939052,0 days 00:33:21.670428894
21,106,Outbound,1878.2785956964892,0 days 00:31:18.278595696
22,108,Inbound,1783.8181818181818,0 days 00:29:43.818181818
23,108,Outbound,1987.4128827877507,0 days 00:33:07.412882788
24,109,Inbound,1497.0678069639584,0 days 00:24:57.067806964
25,109,Outbound,1578.874296435272,0 days 00:26:18.874296435
26,11,Inbound,1697.8996655518395,0 days 00:28:17.899665552
27,11,Outbound,1418.2942430703624,0 days 00:23:38.294243070
28,110,Inbound,1665.171102661597,0 days 00:27:45.171102662
29,110,Outbound,1659.8168193172357,0 days 00:27:39.816819317
30,111,Inbound,1494.2671714440237,0 days 00:24:54.267171443
31,111,Outbound,1635.6894679695984,0 days 00:27:15.689467970
32,112,Inbound,3183.4008097165993,0 days 00:53:03.400809717
33,112,Outbound,3255.703125,0 days 00:54:15.703125
34,114,Inbound,1026.6666666666667,0 days 00:17:06.666666667
