neighborhood,objectid
Allston,1
Back Bay,2
Beacon Hill,3
Brighton,4
Charlestown,5
Chinatown,6
Dorchester,7
Downtown,8
East Boston,9
Fenway,10
Harbor Islands,11
Hyde Park,12
Jamaica Plain,13
Longwood,14
Mattapan,15
Mission Hill,16
North End,17
Roslindale,18
Roxbury,19
South Boston,20
South Boston Waterfront,21
South End,22
West End,23
West Roxbury,24
